iter	Passed	Remaining
0	128	6412711	138	34432	2	155	2563	83	166	204	994	176	5	112	5	1946	121	86	213	15029
7	28	142	7778	232	12678
9	247	12135
10	260	11573
11	272	11083
12	308	11546
13	323	11220
14	329	10641
15	334	10107
16	339	9645
17	350	9382
18	320	290	6616
21	302	6570
22	311	6458
23	320	6350
24	334	6357
25	352	6429
26	365	6408
27	370	6252
28	381	627	429	391	6129
30	399	6047
31	411	6024
32	418	531	433	433	532	534	4333	33	535	4434	547	7269
35	572	7377
36	584	7317
37	590	7182
38	599	7089
39	604	6954
40	609	6824
41	41	614	6742	42	625	6643	637	6605
44	645	6526
45	662	6539
46	678	6539
47	708	6668
48	727	6697
49	732	6593
50	736	6484
51	752	6479
52	777	6554
53	781	6456
54	787	6368
55	791	6276
56	798	6202
57	804	6128
58	828	6194
59	845	6200
60	851	6126
61	855	6045
62	867	6017
63	874	5956
64	881	5899
65	885	5824
66	895	5789
67	900	5723
68	908	5673
69	914	5619
70	920	5559
71	932	5543
72	942	5515
73	956	5506
74	966	5477
75	980	5472
76	994	5465
77	1005	5440
78	1014	5403
79	1026	5390
80	1037	5368
81	1045	5331
82	1050	5277
83	1059	5249
84	1067	5212
85	1075	5177
86	1088	5166
87	1099	5147
88	1107	5116
89	1117	5091
90	1127	5065
91	1136	5039
92	1146	5017
93	1153	4982
94	1163	4959
95	1174	4944
96	1182	4913
97	1187	4872
98	1196	4848
99	1204	4817
100	1215	4802
101	1226	4787
102	1251	4823
103	1259	4794
104	1265	4759
105	1269	4719
106	1280	4704
107	1288	4676
108	1300	4664
109	1308	4640
110	1319	4622
111	1329	4606
112	1333	4565
113	1338	4533
114	1350	4521
115	1371	4541
116	1382	4526
117	1389	4498
118	1398	4478
119	1408	4460
120	1414	4431
121	1420	4402
122	1426	4372
123	1432	4343
124	1437	4313
125	1442	4283
126	1447	4251
127	1452	4221
128	1456	4189
129	1460	4157
130	1464	4126
131	1468	4094
132	1473	4065
133	1478	4037
134	1481	4005
135	1485	3975
136	1489	3945
137	1493	3918
138	1497	3888
139	1501	3861
140	1508	3840
141	1517	3826
142	1527	3813
143	1535	3796
144	1553	3803
145	1562	3787
146	1577	3789
147	1591	3784
148	1601	3771
149	1607	3750
150	1615	3733
151	1628	3727
152	1638	3715
153	1649	3705
154	1660	3695
155	1675	3693
156	1684	3679
157	1694	3668
158	1703	3653
159	1711	3637
160	1718	3617
161	1728	3607
162	1737163	1773	3634
164	1784	3623
165	1796	3613
166	1804	3598
167	1814	3585
168	1822	3569
169	1831	3555
170	1839	3539
171	1850	3528
172	1877	3549
173	1886	3533
174	1895	3519
175	1903	3503
176	1915	3495
177	1924	3482
178	1934	3469
179	1939	3447
180	1950	3436
181	1962	3428
182	1971	3415
183	1979	3399
184	1991	3390
185	2000	3376
186	2009	3363
187	2024	3360
188	2033	3346
189	2046	3339
190	2055	3325
191	2059	3303
192	2070	3293
193	2081	3282
194	2090	3269
195	2100	3257
196	2107	3240
197	2114	3224
198	2122	3211
199	2132	3198
200	2140	3184
201	2152	3175
202	2161	3161
203	2179	3162
204	2187	3147
205	2193	3130
206	2199	3112
207	2206	3097
208	2213	3082
209	2220	3065
210	2228	3052
211	2236	3038
212	2244	3024
213	2252	3010
