Model,Encoded Chromosome
1,"[5, 0, 0, 0, 4, 24, 0, 0, 4, 49, 0, 0, 6, 13, 1, 0, 6, 7, 1, 0, 2, 0, 0, 0, 3, 0, 0, 0, 0, 14, 1, 0, 7, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 2, 1, 0, 0]"
2,"[5, 0, 0, 0, 0, 13, 1, 0, 3, 0, 0, 0, 6, 4, 0, 0, 6, 10, 0, 0, 8, 2, 2, 0, 3, 0, 0, 0, 0, 14, 1, 0, 3, 0, 0, 0, 5, 0, 0, 0, 3, 0, 0, 0, 8, 2, 2, 0]"
3,"[7, 0, 0, 0, 0, 6, 1, 0, 3, 0, 0, 0, 3, 0, 0, 0, 8, 2, 2, 0, 2, 1, 0, 0, 8, 1, 1, 0, 7, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 0, 4, 0, 0, 7, 0, 0, 0]"
4,"[1, 0, 0, 0, 1, 0, 0, 0, 6, 9, 0, 0, 8, 3, 1, 0, 5, 0, 0, 0, 2, 0, 0, 0, 4, 33, 0, 0, 7, 0, 0, 0, 4, 44, 0, 0, 4, 50, 0, 0, 0, 5, 1, 0, 3, 0, 0, 0]"
5,"[1, 0, 0, 0, 4, 59, 0, 0, 3, 0, 0, 0, 4, 17, 0, 0, 2, 1, 0, 0, 0, 10, 0, 0, 2, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 6, 14, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0]"
6,"[6, 15, 0, 0, 6, 10, 0, 0, 0, 14, 0, 0, 8, 3, 1, 0, 1, 0, 0, 0, 4, 46, 0, 0, 5, 0, 0, 0, 3, 0, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0]"
7,"[4, 80, 0, 0, 5, 0, 0, 0, 4, 64, 0, 0, 4, 19, 0, 0, 2, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 8, 2, 2, 0, 8, 3, 2, 0, 7, 0, 0, 0, 7, 0, 0, 0, 6, 8, 1, 0]"
8,"[1, 0, 0, 0, 0, 12, 0, 0, 0, 14, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0, 6, 7, 1, 0, 8, 3, 1, 0, 4, 68, 0, 0, 2, 1, 0, 0, 2, 0, 0, 0, 4, 121, 0, 0, 0, 4, 1, 0]"
9,"[5, 0, 0, 0, 4, 25, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 4, 100, 0, 0, 3, 0, 0, 0, 6, 6, 1, 0, 7, 0, 0, 0, 4, 68, 0, 0, 0, 11, 0, 0, 1, 0, 0, 0]"
10,"[0, 13, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0, 0, 13, 1, 0, 0, 10, 0, 0, 5, 0, 0, 0, 3, 0, 0, 0, 2, 1, 0, 0, 4, 56, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0]"
11,"[6, 8, 1, 0, 3, 0, 0, 0, 1, 0, 0, 0, 6, 13, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 8, 2, 1, 0, 0, 7, 1, 0, 0, 12, 0, 0, 8, 1, 1, 0, 6, 10, 0, 0, 1, 0, 0, 0]"
12,"[7, 0, 0, 0, 2, 1, 0, 0, 4, 89, 0, 0, 3, 0, 0, 0, 4, 117, 0, 0, 6, 13, 1, 0, 5, 0, 0, 0, 4, 10, 0, 0, 0, 14, 1, 0, 7, 0, 0, 0, 5, 0, 0, 0, 0, 6, 0, 0]"
13,"[8, 1, 2, 0, 0, 13, 0, 0, 8, 1, 1, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 9, 1, 0, 3, 0, 0, 0, 2, 0, 0, 0, 8, 3, 2, 0, 6, 14, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
14,"[7, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 6, 6, 1, 0, 7, 0, 0, 0, 5, 0, 0, 0, 6, 9, 0, 0, 8, 1, 1, 0, 4, 92, 0, 0, 1, 0, 0, 0, 0, 6, 1, 0, 2, 1, 0, 0]"
15,"[8, 1, 1, 0, 8, 2, 1, 0, 3, 0, 0, 0, 3, 0, 0, 0, 5, 0, 0, 0, 2, 1, 0, 0, 4, 114, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 2, 0, 0, 0, 0, 6, 1, 0, 8, 2, 2, 0]"
16,"[0, 8, 0, 0, 4, 47, 0, 0, 3, 0, 0, 0, 0, 15, 1, 0, 5, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 2, 1, 0, 0, 3, 0, 0, 0, 8, 1, 1, 0, 5, 0, 0, 0, 4, 67, 0, 0]"
17,"[2, 1, 0, 0, 3, 0, 0, 0, 5, 0, 0, 0, 4, 71, 0, 0, 4, 83, 0, 0, 4, 60, 0, 0, 0, 10, 0, 0, 4, 57, 0, 0, 1, 0, 0, 0, 0, 13, 1, 0, 2, 1, 0, 0, 4, 56, 0, 0]"
18,"[3, 0, 0, 0, 2, 0, 0, 0, 4, 123, 0, 0, 8, 1, 2, 0, 2, 1, 0, 0, 3, 0, 0, 0, 5, 0, 0, 0, 6, 6, 0, 0, 8, 2, 1, 0, 7, 0, 0, 0, 5, 0, 0, 0, 6, 15, 0, 0]"
19,"[2, 0, 0, 0, 5, 0, 0, 0, 6, 13, 0, 0, 2, 1, 0, 0, 0, 14, 1, 0, 0, 4, 1, 0, 0, 10, 0, 0, 1, 0, 0, 0, 4, 97, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 1, 0, 0, 0]"
20,"[5, 0, 0, 0, 7, 0, 0, 0, 8, 3, 2, 0, 1, 0, 0, 0, 0, 6, 1, 0, 0, 14, 0, 0, 5, 0, 0, 0, 8, 2, 2, 0, 3, 0, 0, 0, 2, 1, 0, 0, 4, 95, 0, 0, 1, 0, 0, 0]"
21,"[0, 5, 1, 0, 2, 1, 0, 0, 6, 11, 1, 0, 8, 1, 1, 0, 6, 14, 1, 0, 4, 14, 0, 0, 8, 3, 2, 0, 6, 5, 1, 0, 8, 2, 2, 0, 0, 11, 1, 0, 8, 1, 2, 0, 0, 7, 0, 0]"
22,"[0, 15, 1, 0, 0, 14, 1, 0, 4, 110, 0, 0, 2, 0, 0, 0, 6, 9, 1, 0, 1, 0, 0, 0, 4, 122, 0, 0, 3, 0, 0, 0, 6, 10, 0, 0, 6, 8, 0, 0, 3, 0, 0, 0, 8, 1, 2, 0]"
