Model,Encoded Chromosome
1,"[3, 0, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 6, 24, 2, 0, 2, 0, 0, 0, 4, 343, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
2,"[0, 26, 1, 0, 8, 1, 2, 0, 2, 0, 0, 0, 4, 18, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
3,"[5, 0, 0, 0, 7, 0, 0, 0, 4, 390, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 69, 0, 0, 4, 394, 0, 0, 1, 4, 0, 0]"
4,"[0, 28, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 8, 2, 2, 0, 7, 0, 0, 0, 1, 4, 0, 0, 3, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0]"
5,"[4, 296, 0, 0, 1, 4, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 4, 88, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
6,"[0, 19, 0, 0, 2, 1, 0, 0, 8, 1, 2, 0, 1, 4, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 4, 446, 0, 0, 4, 266, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0]"
7,"[3, 0, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0, 8, 3, 2, 0, 7, 0, 0, 0, 7, 0, 0, 0, 6, 58, 1, 0, 8, 1, 2, 0, 7, 0, 0, 0, 7, 0, 0, 0, 2, 1, 0, 0, 1, 4, 0, 0]"
8,"[7, 0, 0, 0, 3, 0, 0, 0, 0, 11, 1, 0, 0, 27, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0, 4, 250, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 4, 144, 0, 0, 7, 0, 0, 0]"
9,"[2, 0, 0, 0, 1, 4, 0, 0, 0, 21, 0, 0, 2, 1, 0, 0, 2, 1, 0, 0, 1, 4, 0, 0, 8, 1, 1, 0, 8, 2, 1, 0, 2, 1, 0, 0, 0, 16, 1, 0, 0, 14, 0, 0, 5, 0, 0, 0]"
10,"[2, 1, 0, 0, 2, 1, 0, 0, 7, 0, 0, 0, 0, 26, 1, 0, 0, 30, 0, 0, 4, 475, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 166, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
11,"[7, 0, 0, 0, 1, 4, 0, 0, 3, 0, 0, 0, 0, 22, 1, 0, 1, 22, 0, 0, 7, 0, 0, 0, 0, 21, 1, 0, 2, 0, 0, 0, 4, 44, 0, 0, 4, 321, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0]"
12,"[7, 0, 0, 0, 3, 0, 0, 0, 4, 426, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 502, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 337, 0, 0]"
