Model,Encoded Chromosome
1,"[0, 13, 1, 0, 5, 0, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 8, 3, 1, 0, 2, 0, 0, 0, 6, 52, 4, 0, 4, 299, 0, 0, 0, 11, 0, 0, 4, 348, 0, 0]"
2,"[2, 0, 0, 0, 6, 27, 4, 0, 3, 0, 0, 0, 3, 0, 0, 0, 5, 0, 0, 0, 8, 3, 2, 0, 4, 286, 0, 0, 1, 0, 0, 0, 8, 3, 1, 0, 0, 8, 1, 0, 3, 0, 0, 0, 2, 1, 0, 0]"
3,"[2, 1, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 4, 312, 0, 0, 0, 29, 0, 0, 4, 328, 0, 0, 5, 0, 0, 0, 2, 1, 0, 0, 0, 29, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0]"
4,"[5, 0, 0, 0, 4, 90, 0, 0, 6, 27, 5, 0, 8, 2, 1, 0, 6, 57, 5, 0, 6, 36, 3, 0, 7, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0]"
5,"[3, 0, 0, 0, 2, 1, 0, 0, 7, 0, 0, 0, 1, 0, 0, 0, 0, 27, 0, 0, 6, 18, 5, 0, 4, 468, 0, 0, 8, 1, 1, 0, 5, 0, 0, 0, 7, 0, 0, 0, 2, 1, 0, 0, 0, 9, 0, 0]"
6,"[8, 1, 2, 0, 7, 0, 0, 0, 8, 3, 2, 0, 2, 1, 0, 0, 2, 1, 0, 0, 3, 0, 0, 0, 2, 1, 0, 0, 6, 54, 6, 0, 2, 1, 0, 0, 6, 40, 4, 0, 5, 0, 0, 0, 2, 0, 0, 0]"
7,"[8, 2, 2, 0, 0, 26, 1, 0, 1, 0, 0, 0, 0, 21, 1, 0, 4, 412, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 8, 3, 2, 0, 1, 0, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 0, 20, 0, 0]"
8,"[5, 0, 0, 0, 4, 69, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0, 2, 1, 0, 0, 0, 9, 1, 0, 7, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 5, 0, 0, 0, 8, 1, 2, 0]"
9,"[6, 29, 7, 0, 7, 0, 0, 0, 1, 0, 0, 0, 8, 2, 1, 0, 1, 0, 0, 0, 3, 0, 0, 0, 5, 0, 0, 0, 6, 45, 2, 0, 5, 0, 0, 0, 6, 14, 4, 0, 8, 2, 2, 0, 5, 0, 0, 0]"
10,"[2, 1, 0, 0, 8, 1, 2, 0, 0, 15, 1, 0, 3, 0, 0, 0, 2, 1, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 2, 0, 0, 0, 8, 1, 2, 0]"
11,"[2, 0, 0, 0, 7, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 8, 2, 2, 0, 7, 0, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0, 2, 1, 0, 0, 8, 2, 2, 0, 4, 143, 0, 0, 4, 409, 0, 0]"
12,"[1, 0, 0, 0, 2, 1, 0, 0, 6, 25, 6, 0, 2, 0, 0, 0, 5, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 16, 1, 0, 0, 6, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0]"
13,"[3, 0, 0, 0, 1, 0, 0, 0, 6, 12, 3, 0, 6, 53, 5, 0, 5, 0, 0, 0, 6, 45, 5, 0, 3, 0, 0, 0, 2, 1, 0, 0, 0, 27, 1, 0, 7, 0, 0, 0, 8, 3, 2, 0, 3, 0, 0, 0]"
14,"[0, 15, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 4, 51, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 0, 5, 0, 0, 6, 32, 2, 0, 0, 10, 1, 0, 2, 0, 0, 0, 6, 4, 1, 0]"
15,"[1, 0, 0, 0, 0, 20, 1, 0, 6, 8, 3, 0, 5, 0, 0, 0, 0, 5, 0, 0, 0, 21, 1, 0, 4, 143, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 2, 0, 0, 0, 6, 24, 7, 0, 6, 54, 3, 0]"
16,"[4, 42, 0, 0, 1, 0, 0, 0, 0, 7, 0, 0, 8, 1, 2, 0, 6, 25, 6, 0, 2, 1, 0, 0, 0, 21, 1, 0, 0, 30, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0]"
17,"[3, 0, 0, 0, 3, 0, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 0, 6, 1, 0, 0, 28, 1, 0, 2, 1, 0, 0, 3, 0, 0, 0, 5, 0, 0, 0, 6, 16, 2, 0]"
18,"[5, 0, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 4, 469, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 28, 1, 0, 1, 0, 0, 0]"
19,"[6, 55, 3, 0, 8, 2, 2, 0, 3, 0, 0, 0, 5, 0, 0, 0, 3, 0, 0, 0, 6, 53, 2, 0, 6, 46, 5, 0, 5, 0, 0, 0, 0, 8, 0, 0, 2, 1, 0, 0, 2, 1, 0, 0, 6, 57, 1, 0]"
20,"[2, 0, 0, 0, 0, 26, 0, 0, 0, 31, 1, 0, 2, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 6, 62, 5, 0, 7, 0, 0, 0, 8, 3, 2, 0, 3, 0, 0, 0, 1, 0, 0, 0, 4, 441, 0, 0]"
21,"[2, 0, 0, 0, 2, 1, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 6, 58, 2, 0, 5, 0, 0, 0, 0, 7, 1, 0, 6, 55, 6, 0, 0, 26, 0, 0, 5, 0, 0, 0, 2, 0, 0, 0, 8, 1, 1, 0]"
22,"[4, 273, 0, 0, 3, 0, 0, 0, 8, 2, 1, 0, 5, 0, 0, 0, 1, 0, 0, 0, 8, 1, 1, 0, 7, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 2, 0, 0, 0]"
23,"[5, 0, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0, 6, 8, 6, 0, 2, 1, 0, 0, 8, 3, 2, 0, 3, 0, 0, 0, 6, 59, 3, 0, 4, 442, 0, 0, 3, 0, 0, 0, 8, 2, 1, 0]"
24,"[7, 0, 0, 0, 8, 2, 2, 0, 0, 6, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 4, 260, 0, 0, 4, 116, 0, 0, 1, 0, 0, 0, 6, 23, 1, 0, 6, 9, 3, 0, 7, 0, 0, 0, 5, 0, 0, 0]"
