Model,Encoded Chromosome
1,"[5, 0, 0, 0, 0, 6, 0, 0, 5, 0, 0, 0, 3, 0, 0, 0, 4, 71, 0, 0, 4, 94, 0, 0, 7, 0, 0, 0, 6, 14, 0, 0, 4, 29, 0, 0, 2, 1, 0, 0, 4, 94, 0, 0, 5, 0, 0, 0]"
2,"[3, 0, 0, 0, 2, 1, 0, 0, 3, 0, 0, 0, 8, 1, 2, 0, 8, 2, 1, 0, 0, 9, 1, 0, 2, 0, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0]"
3,"[2, 1, 0, 0, 3, 0, 0, 0, 8, 2, 2, 0, 6, 9, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 6, 5, 0, 0, 8, 3, 1, 0]"
4,"[3, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0, 0, 11, 0, 0, 7, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 4, 80, 0, 0, 6, 5, 1, 0, 3, 0, 0, 0, 8, 1, 2, 0]"
5,"[3, 0, 0, 0, 8, 2, 2, 0, 1, 0, 0, 0, 4, 122, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 2, 1, 0, 0, 3, 0, 0, 0]"
6,"[8, 2, 1, 0, 1, 0, 0, 0, 4, 55, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 5, 0, 0, 0, 4, 100, 0, 0, 0, 6, 1, 0, 4, 55, 0, 0, 2, 1, 0, 0, 5, 0, 0, 0]"
7,"[3, 0, 0, 0, 7, 0, 0, 0, 0, 14, 1, 0, 7, 0, 0, 0, 8, 2, 1, 0, 7, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 6, 13, 1, 0, 1, 0, 0, 0, 0, 11, 0, 0, 6, 14, 1, 0]"
8,"[2, 0, 0, 0, 7, 0, 0, 0, 0, 14, 1, 0, 0, 12, 1, 0, 5, 0, 0, 0, 6, 15, 0, 0, 4, 112, 0, 0, 4, 47, 0, 0, 0, 10, 0, 0, 5, 0, 0, 0, 2, 1, 0, 0, 2, 0, 0, 0]"
9,"[1, 0, 0, 0, 8, 2, 2, 0, 7, 0, 0, 0, 8, 1, 1, 0, 5, 0, 0, 0, 8, 2, 2, 0, 5, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0, 3, 0, 0, 0]"
10,"[1, 0, 0, 0, 0, 6, 1, 0, 3, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 8, 3, 2, 0, 6, 9, 1, 0, 7, 0, 0, 0, 5, 0, 0, 0, 0, 14, 0, 0]"
11,"[0, 12, 0, 0, 0, 7, 1, 0, 5, 0, 0, 0, 4, 100, 0, 0, 6, 14, 1, 0, 5, 0, 0, 0, 8, 3, 1, 0, 7, 0, 0, 0, 7, 0, 0, 0, 6, 6, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0]"
12,"[4, 111, 0, 0, 1, 0, 0, 0, 4, 24, 0, 0, 1, 0, 0, 0, 8, 1, 1, 0, 8, 1, 2, 0, 4, 50, 0, 0, 6, 6, 1, 0, 4, 104, 0, 0, 0, 14, 0, 0, 4, 80, 0, 0, 6, 15, 1, 0]"
13,"[3, 0, 0, 0, 0, 4, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 6, 8, 1, 0, 7, 0, 0, 0, 4, 36, 0, 0, 0, 8, 1, 0, 7, 0, 0, 0, 6, 14, 1, 0, 0, 10, 0, 0, 6, 15, 1, 0]"
