Encoded Architecture,Loss,Accuracy,Precision,Recall,F1,Specificity
"[1, 4, 0, 0, 7, 0, 0, 0, 6, 12, 2, 3, 8, 2, 1, 0, 3, 0, 0, 0, 8, 3, 1, 0, 2, 1, 0, 0, 2, 0, 0, 0, 8, 2, 2, 0, 2, 1, 0, 0, 3, 0, 0, 0, 0, 20, 0, 0]",0.6890732402151282,0.5,0.5049751243781094,0.533508541392904,0.518849840255591,0.47700394218134035
"[8, 0, 1, 0, 7, 0, 0, 0, 8, 1, 2, 0, 7, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 2, 1, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 123, 1, 0, 7, 0, 0, 0]",0.6931864023208618,0.5,0.4972677595628415,0.4185282522996058,0.45451302176239744,0.5768725361366623
"[6, 56, 4, 0, 7, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 8, 1, 1, 0, 2, 0, 0, 0, 3, 0, 0, 0, 2, 1, 0, 0, 3, 0, 0, 0, 0, 22, 1, 0, 7, 0, 0, 0, 5, 0, 0, 0]",0.6931689977645874,0.5,0.49343339587242024,0.5183968462549278,0.5056071771867992,0.46780551905387646
"[8, 0, 2, 0, 6, 28, 4, 3, 1, 28, 0, 0, 4, 159, 3, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]",0.6947440857237036,0.5,0.498672331386086,0.6169513797634691,0.5515418502202644,0.3797634691195795
"[8, 0, 1, 0, 7, 0, 0, 0, 6, 4, 4, 3, 7, 0, 0, 0, 8, 3, 2, 0, 4, 177, 0, 0, 4, 335, 1, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 381, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]",0.6929710805416107,0.5,0.49730700179533216,0.5459921156373193,0.520513623551519,0.4480946123521682
"[4, 116, 3, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 439, 3, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0]",0.6936843584884297,0.5,0.4967532467532468,0.5026281208935611,0.4996734160679295,0.4908015768725361
"[7, 0, 0, 0, 8, 1, 1, 0, 1, 4, 0, 0, 0, 21, 1, 3, 1, 21, 0, 0, 7, 0, 0, 0, 8, 1, 2, 0, 5, 0, 0, 0, 4, 434, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0]",0.6960159350525249,0.5,0.5032774945375091,0.4540078843626807,0.4773747841105354,0.5519053876478318
"[4, 39, 1, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 210, 3, 0, 1, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]",0.6936216110532935,0.5,0.5,0.45466491458607095,0.47625602202339984,0.545335085413929
"[7, 0, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 8, 3, 2, 0, 3, 0, 0, 0, 0, 8, 0, 3, 7, 0, 0, 0, 1, 4, 0, 0, 5, 0, 0, 0, 4, 69, 3, 0, 7, 0, 0, 0]",0.6936779889193448,0.5,0.4961990324809952,0.47174770039421815,0.48366453351296734,0.5210249671484888
"[6, 18, 3, 3, 1, 18, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 2, 0, 0, 0, 1, 4, 0, 0, 3, 0, 0, 0, 0, 21, 1, 0, 4, 436, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 489, 0, 0]",0.6934587251056324,0.5,0.5028248587570622,0.46780551905387646,0.4846834581347856,0.5374507227332457
"[4, 25, 1, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 4, 292, 0, 0]",0.6935771216045726,0.5,0.5118733509234829,0.5098554533508541,0.510862409479921,0.5137976346911958
"[6, 51, 1, 0, 3, 0, 0, 0, 0, 24, 1, 0, 8, 1, 1, 0, 4, 304, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]",0.6942567554387179,0.5,0.5066747572815534,0.5486202365308804,0.526813880126183,0.46583442838370565
"[3, 0, 0, 0, 8, 1, 1, 0, 7, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 4, 403, 3, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 362, 3, 0, 7, 0, 0, 0, 7, 0, 0, 0]",0.6931944597851146,0.5,0.511986301369863,0.392904073587385,0.4446096654275093,0.6254927726675427
"[6, 40, 4, 0, 0, 17, 0, 1, 4, 242, 0, 0, 4, 451, 1, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]",0.6932360936294902,0.5,0.4984746796827334,0.5367936925098554,0.5169250237266688,0.45992115637319314
"[3, 0, 0, 0, 4, 110, 1, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 432, 3, 0, 7, 0, 0, 0, 1, 4, 0, 0, 1, 4, 0, 0]",0.6931915310296145,0.5,0.49115357395612175,0.4559789750328515,0.4729131175468484,0.5275952693823915
"[3, 0, 0, 0, 4, 328, 3, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 444, 1, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]",0.6932659989053552,0.5,0.503751875937969,0.6616294349540078,0.5719965918773076,0.34822601839684625
"[1, 4, 0, 0, 2, 1, 0, 0, 6, 20, 4, 3, 0, 4, 1, 1, 4, 334, 1, 0, 7, 0, 0, 0, 1, 4, 0, 0, 4, 383, 3, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]",0.6932014660401777,0.5,0.5146496815286624,0.5308804204993429,0.5226390685640362,0.49934296977660975
"[7, 0, 0, 0, 5, 0, 0, 0, 4, 471, 0, 0, 1, 4, 0, 0, 4, 98, 3, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]",0.6933800090443004,0.5,0.5169230769230769,0.5519053876478318,0.5338417540514776,0.48423127463863336
"[3, 0, 0, 0, 7, 0, 0, 0, 2, 1, 0, 0, 0, 24, 1, 0, 8, 3, 1, 0, 7, 0, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]",0.6992722695524042,0.5,0.4909090909090909,0.47897503285151116,0.4848686398403725,0.5032851511169514
"[6, 28, 4, 1, 7, 0, 0, 0, 8, 2, 1, 0, 2, 0, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 8, 2, 2, 0, 0, 25, 0, 0, 8, 1, 1, 0, 2, 1, 0, 0, 3, 0, 0, 0, 4, 176, 3, 0]",0.6931876892393286,0.5,0.513978494623656,0.47109067017082784,0.49160095989029823,0.5545335085413929
"[4, 217, 3, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]",0.6932700872421265,0.5,0.5010570824524313,0.4671484888304862,0.48350901054063244,0.5348226018396847
"[1, 4, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 0, 24, 0, 3, 7, 0, 0, 0, 4, 511, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 286, 1, 0]",0.6934258287603204,0.5,0.49680715197956576,0.5111695137976346,0.5038860103626943,0.48226018396846254
"[2, 0, 0, 0, 4, 124, 1, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]",0.6933086324821819,0.5,0.49516908212560384,0.4040735873850197,0.44500723589001445,0.588042049934297
"[3, 0, 0, 0, 4, 311, 0, 0, 4, 464, 3, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 88, 3, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]",0.6934833716262471,0.5,0.4953083109919571,0.4855453350854139,0.49037823490378235,0.5052562417871223
"[4, 142, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]",0.6934895434162833,0.5,0.5251436781609196,0.4802890932982917,0.5017158544955388,0.5657030223390276
"[2, 1, 0, 0, 7, 0, 0, 0, 0, 18, 0, 1, 6, 62, 2, 1, 2, 1, 0, 0, 2, 0, 0, 0, 0, 9, 0, 1, 7, 0, 0, 0, 3, 0, 0, 0, 2, 1, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0]",0.6931426281278784,0.5,0.5194312796208531,0.3600525624178712,0.42530073729142415,0.6668856767411301
"[8, 0, 1, 0, 2, 0, 0, 0, 2, 1, 0, 0, 8, 3, 2, 0, 0, 25, 1, 3, 2, 0, 0, 0, 0, 11, 0, 3, 7, 0, 0, 0, 8, 3, 1, 0, 1, 4, 0, 0, 6, 60, 4, 1, 7, 0, 0, 0]",0.6935339678417553,0.5,0.5083573487031701,0.5795006570302234,0.5416027018728892,0.4395532194480946
"[2, 1, 0, 0, 2, 0, 0, 0, 1, 4, 0, 0, 3, 0, 0, 0, 0, 6, 0, 3, 1, 6, 0, 0, 4, 490, 3, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]",0.6933772293004122,0.5,0.5017751479289941,0.557161629434954,0.5280199252801993,0.4467805519053876
