Encoded Architecture,Loss,Accuracy,Precision,Recall,F1,Specificity,SynFlow
"[8, 0, 1, 0, 2, 1, 0, 0, 2, 0, 0, 0, 1, 4, 0, 0, 6, 30, 2, 0, 8, 2, 1, 0, 7, 0, 0, 0, 8, 3, 1, 0, 2, 1, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0]",0.7017064571380616,0.5,0.5137046861184792,0.3817345597897503,0.4379947229551451,0.6386333771353482,34.859033005312085
"[1, 4, 0, 0, 8, 1, 2, 0, 8, 2, 2, 0, 3, 0, 0, 0, 4, 148, 0, 0, 2, 1, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 6, 6, 1, 0, 7, 0, 0, 0, 3, 0, 0, 0, 5, 0, 0, 0]",0.6953701972961426,0.5,0.5078066914498142,0.4487516425755585,0.4764562260202302,0.5650459921156373,357.4751970246434
"[4, 155, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 0, 18, 0, 0, 4, 265, 0, 0, 7, 0, 0, 0, 6, 50, 1, 0, 0, 14, 1, 0, 1, 14, 0, 0, 1, 4, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0]",0.6934696018695832,0.5,0.5138339920948617,0.5978975032851511,0.5526875189796538,0.4342969776609724,1.9981377378571779
"[3, 0, 0, 0, 7, 0, 0, 0, 2, 1, 0, 0, 0, 8, 0, 0, 4, 461, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 1, 4, 0, 0, 3, 0, 0, 0, 8, 2, 1, 0, 7, 0, 0, 0, 6, 29, 3, 0]",0.6945143520832062,0.5,0.4845573095401509,0.4638633377135348,0.4739845585767036,0.5065703022339028,431.5464272061363
"[2, 0, 0, 0, 8, 1, 2, 0, 1, 4, 0, 0, 3, 0, 0, 0, 4, 206, 0, 0, 8, 2, 1, 0, 7, 0, 0, 0, 6, 51, 4, 0, 3, 0, 0, 0, 0, 22, 0, 0, 4, 197, 0, 0, 4, 288, 0, 0]",0.6930286586284637,0.5,0.49706457925636,0.3337713534822601,0.3993710691823899,0.6622864651773982,13.444120868705795
"[3, 0, 0, 0, 3, 0, 0, 0, 6, 56, 3, 0, 1, 56, 0, 0, 0, 20, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 8, 2, 1, 0, 3, 0, 0, 0]",0.6940573275089263,0.5,0.515625,0.3252299605781866,0.3988718775181305,0.6944809461235217,102.32976867409889
"[2, 0, 0, 0, 3, 0, 0, 0, 4, 399, 0, 0, 4, 480, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 2, 1, 0, 0, 1, 4, 0, 0, 0, 28, 1, 0, 2, 0, 0, 0, 0, 6, 0, 0, 2, 1, 0, 0]",0.693326723575592,0.5,0.4858459512837393,0.4848883048620236,0.4853666557053601,0.4868593955321945,1.7409180393442512
"[0, 10, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 4, 179, 0, 0, 0, 20, 0, 0, 7, 0, 0, 0, 2, 1, 0, 0, 0, 29, 1, 0, 5, 0, 0, 0, 4, 188, 0, 0]",0.6934393107891083,0.5,0.496,0.1629434954007884,0.2453016815034619,0.8344283837056504,0.07323312707467267
"[0, 9, 1, 0, 2, 1, 0, 0, 4, 324, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 2, 1, 0, 0, 4, 301, 0, 0, 6, 37, 4, 0]",0.693215423822403,0.5,0.5058708414872799,0.3396846254927727,0.4064465408805031,0.6681997371879106,0.14141768313857028
"[1, 4, 0, 0, 7, 0, 0, 0, 8, 1, 1, 0, 0, 27, 0, 0, 4, 100, 0, 0, 8, 3, 2, 0, 6, 30, 4, 0, 0, 17, 1, 0, 1, 17, 0, 0, 5, 0, 0, 0, 4, 350, 0, 0, 4, 409, 0, 0]",0.6930703818798065,0.5,0.5012038523274478,0.8206307490144547,0.6223218734429496,0.1833114323258869,2.8534673475514865
