Encoded Architecture,Loss,Accuracy,Precision,Recall,F1,Specificity
"[8, 0, 13, 0, 7, 0, 0, 0, 0, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 8, 6, 0, 0, 2, 1, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0]",0.6930900276923666,0.4924441524310118,0.49162418062636565,0.44349540078843624,0.46632124352331605,0.5413929040735874
"[0, 32, 0, 0, 8, 1, 1, 0, 0, 4, 1, 0, 8, 3, 1, 0, 8, 4, 1, 0, 0, 32, 1, 0, 8, 6, 3, 0, 0, 4, 0, 0, 8, 8, 7, 0, 0, 32, 0, 0, 0, 4, 1, 0, 0, 4, 0, 0]",0.6990874020420775,0.5039421813403416,0.5045592705167173,0.43626806833114323,0.4679351656095842,0.5716162943495401
"[8, 0, 1, 0, 0, 32, 1, 0, 8, 2, 9, 0, 8, 3, 1, 0, 8, 1, 1, 0, 0, 32, 1, 0, 8, 2, 13, 0, 0, 4, 0, 1, 8, 8, 1, 0, 0, 30, 1, 0, 0, 4, 1, 0, 8, 2, 1, 0]",0.6978015936150843,0.5013140604467805,0.5014084507042254,0.46780551905387646,0.4840244731475187,0.5348226018396847
"[8, 0, 1, 0, 0, 32, 0, 0, 0, 4, 1, 0, 0, 4, 0, 0, 8, 4, 1, 0, 0, 32, 0, 0, 0, 4, 1, 0, 8, 7, 1, 0, 8, 1, 1, 0, 0, 32, 1, 0, 0, 4, 1, 0, 0, 4, 0, 0]",0.698089425661126,0.4888304862023653,0.49002347417840375,0.5486202365308804,0.5176689398636082,0.4290407358738502
"[8, 0, 1, 0, 0, 32, 1, 0, 0, 4, 1, 0, 8, 1, 1, 0, 8, 4, 1, 0, 0, 32, 0, 0, 0, 4, 1, 0, 0, 4, 0, 0, 8, 1, 1, 0, 0, 4, 1, 0, 0, 32, 1, 0, 0, 4, 0, 0]",0.6977668927640331,0.48291721419185285,0.48214285714285715,0.4612352168199737,0.4714573539288113,0.5045992115637319
"[8, 0, 1, 0, 0, 32, 0, 0, 0, 4, 0, 0, 8, 3, 3, 0, 8, 4, 5, 0, 8, 5, 32, 0, 8, 1, 3, 0, 0, 4, 0, 0, 8, 8, 1, 0, 0, 32, 1, 0, 8, 1, 9, 0, 8, 1, 1, 0]",0.6939319505983469,0.48061760840998685,0.4825133372851215,0.5348226018396847,0.5073231536304145,0.4264126149802891
"[8, 0, 1, 0, 0, 32, 1, 0, 0, 4, 0, 0, 8, 1, 3, 0, 8, 1, 1, 0, 0, 4, 1, 0, 0, 32, 0, 0, 8, 1, 7, 0, 8, 1, 1, 0, 0, 32, 0, 0, 0, 4, 1, 0, 0, 4, 0, 0]",0.6932702830859593,0.5,0.5,0.4369250985545335,0.46633941093969145,0.5630749014454665
"[8, 0, 7, 0, 8, 1, 32, 0, 8, 2, 3, 0, 0, 4, 0, 0, 8, 1, 1, 0, 0, 32, 0, 0, 0, 4, 1, 0, 8, 1, 1, 0, 8, 8, 7, 0, 8, 7, 1, 0, 0, 4, 0, 0, 8, 4, 3, 0]",0.6979749227056697,0.49934296977660975,0.49934036939313986,0.4973718791064389,0.49835418038183016,0.5013140604467805
"[0, 32, 1, 0, 8, 1, 1, 0, 0, 4, 1, 0, 0, 4, 0, 0, 8, 4, 1, 0, 0, 32, 1, 0, 8, 1, 13, 0, 8, 4, 1, 0, 8, 8, 1, 0, 0, 32, 0, 0, 0, 4, 1, 0, 8, 1, 1, 0]",0.6979211860773514,0.492772667542707,0.49295774647887325,0.5059132720105125,0.4993514915693904,0.47963206307490147
"[8, 0, 5, 0, 0, 32, 0, 0, 0, 4, 1, 0, 0, 4, 1, 0, 8, 1, 1, 0, 0, 32, 1, 0, 8, 1, 3, 0, 0, 4, 1, 0, 8, 1, 1, 0, 0, 32, 1, 0, 8, 1, 5, 0, 8, 1, 1, 0]",0.6939463749223825,0.4891590013140604,0.4891232696110745,0.48751642575558474,0.48831852583086544,0.4908015768725361
"[8, 0, 1, 0, 0, 32, 0, 0, 0, 4, 1, 0, 0, 4, 0, 0, 8, 4, 7, 0, 8, 5, 1, 0, 0, 4, 1, 0, 0, 4, 0, 0, 8, 1, 1, 0, 0, 32, 1, 0, 0, 4, 1, 0, 0, 4, 0, 0]",0.6992720803435968,0.4766754270696452,0.47849788007268323,0.519053876478318,0.49795146549007246,0.4342969776609724
"[8, 0, 1, 0, 0, 32, 1, 0, 0, 4, 1, 0, 8, 2, 4, 0, 8, 1, 1, 0, 0, 32, 1, 0, 0, 4, 1, 0, 8, 7, 2, 0, 8, 4, 1, 0, 0, 32, 0, 0, 0, 4, 1, 0, 8, 7, 1, 0]",0.6980789413257521,0.509526938239159,0.5091482649842272,0.5302233902759527,0.5194721596395236,0.4888304862023653
