Encoded Architecture,Loss,Accuracy,Precision,Recall,F1,Specificity
"[6, 14, 2, 0, 1, 14, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 0, 32, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 8, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]",0.6931528826149143,0.5019710906701709,0.5017281105990783,0.5722733245729303,0.534683855125844,0.4316688567674113
"[7, 0, 0, 0, 8, 1, 1, 0, 7, 0, 0, 0, 0, 12, 0, 0, 8, 2, 2, 0, 7, 0, 0, 0, 8, 1, 1, 0, 0, 18, 0, 0, 8, 2, 2, 0, 7, 0, 0, 0, 7, 0, 0, 0, 8, 0, 1, 0]",0.6931467214409186,0.4921156373193167,0.49231754161331626,0.5052562417871223,0.4987029831387808,0.47897503285151116
"[8, 0, 1, 0, 0, 32, 0, 0, 0, 4, 1, 0, 4, 1, 0, 0, 7, 0, 0, 0, 4, 512, 3, 0, 4, 1, 2, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]",0.7123292696719267,0.4944152431011827,0.4951841359773371,0.5742444152431012,0.5317919075144508,0.41458607095926414
"[8, 0, 0, 0, 7, 0, 0, 0, 4, 1, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]",0.7154626785492411,0.5052562417871223,0.5056338028169014,0.47174770039421815,0.48810333106730114,0.5387647831800263
"[2, 0, 0, 0, 7, 0, 0, 0, 6, 4, 1, 0, 2, 0, 0, 0, 8, 4, 1, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 256, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]",0.6936049278901548,0.4947437582128778,0.49493029150823825,0.5131406044678055,0.5038709677419355,0.4763469119579501
"[7, 0, 0, 0, 6, 4, 2, 0, 8, 1, 1, 0, 7, 0, 0, 0, 8, 2, 2, 0, 2, 1, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 8, 0, 1, 0, 7, 0, 0, 0, 7, 0, 0, 0]",0.6932468329157148,0.4983574244415243,0.4984857662023016,0.5407358738501971,0.518751969744721,0.4559789750328515
"[8, 0, 2, 0, 2, 1, 0, 0, 4, 1, 0, 0, 4, 1, 2, 0, 7, 0, 0, 0, 4, 256, 2, 0, 7, 0, 0, 0, 4, 10, 0, 0, 7, 0, 0, 0, 4, 171, 0, 0, 4, 1, 0, 0, 7, 0, 0, 0]",0.7144590640554622,0.49540078843626806,0.4949928469241774,0.45466491458607095,0.473972602739726,0.5361366622864652
"[4, 171, 2, 0, 4, 256, 0, 0, 4, 1, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 1, 0, 0, 4, 1, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]",0.7144507121066658,0.4967148488830486,0.4964336661911555,0.45729303547963207,0.47606019151846785,0.5361366622864652
"[2, 1, 0, 0, 4, 1, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 256, 2, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 1, 2, 0, 7, 0, 0, 0, 7, 0, 0, 0]",0.7155938781037623,0.4888304862023653,0.4891443167305236,0.5032851511169514,0.4961139896373057,0.4743758212877792
"[6, 4, 2, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 256, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 256, 0, 0, 4, 1, 0, 0, 7, 0, 0, 0]",0.7148351705804163,0.4940867279894875,0.4944029850746269,0.5223390275952694,0.5079872204472844,0.46583442838370565
"[6, 14, 1, 0, 4, 1, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 427, 0, 0]",0.698147358943005,0.4957293035479632,0.49559322033898306,0.4802890932982917,0.48782115448782115,0.5111695137976346
"[0, 32, 0, 0, 6, 4, 4, 0, 7, 0, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 256, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]",0.6935663551700358,0.5042706964520368,0.5040752351097179,0.5282522996057819,0.5158806544754572,0.4802890932982917
