Model,Layer,Parameter1,Parameter2,Parameter3
1,1,0.6722703033478096,0.20480529056001026,0.33743311666864734
1,2,0.20467330898464803,0.5444909180076354,0.9509463962077266
1,3,0.5652386303907693,0.04966381547852372,0.580886905324194
1,4,0.5713830107858171,0.3430156969310593,0.3304164196348148
1,5,0.4712184175895263,0.3599221305062973,0.5115486180922908
1,6,0.7205880444167998,0.18165071253499063,0.07986762424706143
1,7,0.5920785780049441,0.9514846243923192,0.30743431205265914
1,8,0.7670137221951169,0.8605211493275656,0.5778085892403909
1,9,0.09535740896435178,0.9127382196836434,0.2804719703341238
1,10,0.672046901991917,0.9216412532982817,0.15053274862150173
1,11,0.8732988656056155,0.5018231805849529,0.5663752954759654
1,12,0.6069491474262554,0.7490629515000569,0.4264896113766492
2,1,0.591789369462782,0.9738134798763088,0.9504862477897275
2,2,0.49903076330291124,0.7190920679195668,0.9918669542837738
2,3,0.2593923952527747,0.789852545333958,0.5410587330284942
2,4,0.8162952073479148,0.20661710728783725,0.46709085099670494
2,5,0.29234968494345276,0.9552117932803714,0.32572986024390044
2,6,0.7843500557841122,0.49054528567069405,0.9571792820284736
2,7,0.43128834591041865,0.6408873618747846,0.7661551639804745
2,8,0.2729310168239533,0.4942005229511923,0.8723829665231413
2,9,0.8954044614334732,0.11541355983555657,0.39914933801961533
2,10,0.5838343392672254,0.3737487274530936,0.5031805582808574
2,11,0.281415143981696,0.22282050243538717,0.6440414178444844
2,12,0.9300269901613789,0.5094167287537509,0.4306201419019427
3,1,0.10522166206325138,0.8587648100372045,0.529702730188618
3,2,0.0022515420298579425,0.08079218786072516,0.44019443744129244
3,3,0.15825404317323113,0.14601453801375627,0.7281547320014885
3,4,0.4637763788259537,0.1595145918617181,0.20330849943876633
3,5,0.038315879523707755,0.06368547795994059,0.4173927743656253
3,6,0.09999146544890736,0.09415951575952093,0.4948787728943943
3,7,0.16394636889237174,0.5268184357478705,0.2631599875315219
3,8,0.36834816978106116,0.2918204125464304,0.012083408915562137
3,9,0.604730409664332,0.37489465302473834,0.4662058252018739
3,10,0.07039275013883142,0.706603492830174,0.06358506023693843
3,11,0.819090674194432,0.02302039245496221,0.12631041887254835
3,12,0.9755637355043594,0.2438690627624435,0.7032715167779799
4,1,0.8862675286651787,0.40442837833298195,0.6442210363061923
4,2,0.6836662286386483,0.840895677541719,0.3992638640170612
4,3,0.21286087347488825,0.48304321904614594,0.5473863362442972
4,4,0.4271387619739627,0.4094585305373071,0.6256821079261744
4,5,0.4382326867215957,0.351524833333603,0.9817266906451051
4,6,0.9107208222653839,0.5778004532515307,0.18037349550086504
4,7,0.7450331813245243,0.8063851922712799,0.695380866427325
4,8,0.059167105929041716,0.25723348788002104,0.3784947184306035
4,9,0.9211269817495555,0.2088139116812008,0.5433624843563758
4,10,0.49962634159647945,0.8420386065473012,0.6863678230347863
4,11,0.2052803252018399,0.34620749483529367,0.20925982260072942
4,12,0.053412929147884126,0.49397611480979886,0.6555293981704102
5,1,0.7814265204002994,0.39723930919413525,0.5410678303637283
5,2,0.822855430849655,0.9592586263750652,0.09326604712415476
5,3,0.8256321007084851,0.12853503554469367,0.1660415851778901
5,4,0.4490856228529466,0.3145590502211623,0.3658412470099933
5,5,0.37793391249527897,0.07778217918783614,0.8444098643458008
5,6,0.5588326898207093,0.04353000464326233,0.4245029378329512
5,7,0.3389064926464401,0.6273405428378864,0.47952621636369663
5,8,0.9261527190754089,0.8163849950840586,0.7765088835562663
5,9,0.9651452494996919,0.22678256834643784,0.8376497463310063
5,10,0.16352276221381915,0.7242364975281018,0.19392190983065605
5,11,0.5365083614809729,0.8202877179001823,0.5638098216674726
5,12,0.9114559635060798,0.8369618620275877,0.009877309020159875
6,1,0.11573719727983284,0.476057290384893,0.8798007409481929
6,2,0.7491493555182005,0.3879327007183539,0.8023711796824903
6,3,0.7038152574367408,0.9093734707589743,0.5590544845085997
6,4,0.9243067910895549,0.006256164187982279,0.2412448433166664
6,5,0.12871169168200589,0.878356034378684,0.5990464748482043
6,6,0.5861892702255874,0.7024693847733221,0.6786719030521267
6,7,0.5887331178969617,0.974865609531761,0.39612340505485516
6,8,0.347879251958624,0.998485856792093,0.33338810344897724
6,9,0.4227832353668572,0.2206983338465222,0.9972576990758183
6,10,0.028204853201769128,0.248473829560114,0.25324636060431377
6,11,0.3812358516238229,0.7139691699614614,0.9978615936179996
6,12,0.2722377205097015,0.9097095325465676,0.19488468485180196
7,1,0.2642411792591021,0.25350248323401986,0.12814712681395246
7,2,0.9865522510649987,0.5067212280968978,0.5184039277374295
7,3,0.3428585782303286,0.8902298920496002,0.7633772117430682
