iter	RMSE
0	0.3543972487
1	0.3482876888
2	0.3423966841
3	0.3379502103
4	0.3332007175
5	0.3300096059
6	0.3260992539
7	0.323007362
8	0.31940792
9	0.3169099907
10	0.3143016697
11	0.3115473557
12	0.3071392323
13	0.304718567
14	0.3022092652
15	0.3013455786
16	0.299607329
17	0.2978037604
18	0.2952874579
19	0.2938458969
20	0.2920961398
21	0.2900344301
22	0.2877246878
23	0.2865193181
24	0.2849910677
25	0.2834168474
26	0.2821444963
27	0.2800901976
28	0.2781830798
29	0.2768015312
30	0.2759550758
31	0.2744097111
32	0.2726441143
33	0.2708900049
34	0.2688026032
35	0.2665262778
36	0.2646025871
37	0.2636272085
38	0.2622508533
39	0.2601701468
40	0.2579643847
41	0.2561693302
42	0.2546599135
43	0.2528207586
44	0.2512208288
45	0.2496692962
46	0.2480758152
47	0.2461697717
48	0.2452418304
49	0.2438938035
50	0.2426173749
51	0.2411266286
52	0.2397180329
53	0.2385880544
54	0.2375082418
55	0.2361156007
56	0.2346708443
57	0.2328063018
58	0.2311437663
59	0.2299771923
60	0.2286602761
61	0.2275135424
62	0.2263266067
63	0.2252502206
64	0.2244045876
65	0.2232587066
66	0.2222302934
67	0.2210060512
68	0.2200560335
69	0.2191899105
70	0.2180811199
71	0.2169451592
72	0.215995588
73	0.2149850058
74	0.2138513723
75	0.2129043657
76	0.2119556504
77	0.2114827539
78	0.2106133073
79	0.2102392707
80	0.2092520907
81	0.2090708443
82	0.2088397655
83	0.2078519426
84	0.207747118
85	0.2066733156
86	0.2059351372
87	0.2051890755
88	0.2041756032
89	0.2032894667
90	0.2024959495
91	0.2019912869
92	0.2011344963
93	0.2005219272
94	0.1997800601
95	0.1988216581
96	0.1982836113
97	0.1973199958
98	0.196278257
99	0.1952198058
100	0.1943507217
101	0.1935014091
102	0.1926850722
103	0.1925752686
104	0.1918022474
105	0.1913372865
106	0.1911614236
107	0.1900759712
108	0.1894981021
109	0.1888790158
110	0.188236986
111	0.1875814235
112	0.1868796723
113	0.1859675991
114	0.1850123119
115	0.1844686518
116	0.1837916193
117	0.1829958427
118	0.1824918261
119	0.1818067366
120	0.1816447926
121	0.1806707802
122	0.1799557805
123	0.1793378086
124	0.178707052
125	0.1782226136
126	0.1773691321
127	0.1768301314
128	0.1761075468
129	0.1755528212
130	0.1754291477
131	0.1748477418
132	0.1740720364
133	0.1734009474
134	0.1732764409
135	0.1731878583
136	0.1724347496
137	0.1716816817
138	0.1716231094
139	0.1712828714
140	0.1707758955
141	0.170182154
142	0.1696492683
143	0.1688997641
144	0.1682480442
145	0.1677286
146	0.1676756567
147	0.1671942127
148	0.166439155
149	0.1660091294
