Architecture,Splits,Epochs,Window Size,Loss,Accuracy,Precision,Recall,F1-score,Specificity
CNN_LF,5,50,5,0.6307783126831055,0.6458404183387756,0.6191524661609107,0.675134168157424,0.6434859798393793,0.6193861066235865
CNN_LF,5,50,10,0.6787523031234741,0.6111111044883728,0.5866857380795008,0.7818181818181819,0.6677729773744852,0.4390438247011952
CNN_LF,5,50,15,0.6971996426582336,0.5822878122329712,0.5657822674147928,0.7811594202898551,0.6556929263109438,0.37593984962406013
CNN_LF,5,50,20,0.7085769772529602,0.5640718579292298,0.5468970506942412,0.8470588235294118,0.6643117692825835,0.27073170731707313
CNN_LF,5,50,30,0.8449495673179627,0.4417910397052765,0.41708628574300216,0.8592592592592592,0.54994485629412,0.16
CNN_LF,10,50,5,0.63208988904953,0.6421901643276214,0.624061765695376,0.6415026833631485,0.6275719375499541,0.64281098546042
CNN_LF,10,50,10,0.6593537092208862,0.6253968238830566,0.6024878874013373,0.7588932806324111,0.6699254031443607,0.4908366533864541
CNN_LF,10,50,15,0.6831827938556672,0.599261999130249,0.5764920671774698,0.8217391304347826,0.6765678367273622,0.36842105263157887
CNN_LF,10,50,20,0.7029233992099762,0.5766467094421387,0.5590574095251483,0.8294117647058823,0.6649042792359005,0.3146341463414634
CNN_LF,10,50,30,0.7788182199001312,0.4656716376543045,0.3923937119766371,0.6518518518518518,0.45888184167675705,0.33999999999999997
reduced_model,5,50,5,0.6560459852218627,0.7027164697647095,0.6876729764372327,0.6844364937388192,0.6860015406482107,0.7192245557350565
reduced_model,5,50,10,0.7333026170730591,0.6563492059707642,0.6760379119710327,0.6063241106719367,0.6389017624109478,0.706772908366534
reduced_model,5,50,15,0.6756221652030945,0.6649446487426758,0.6938734953147371,0.6173913043478262,0.6527155059554243,0.7142857142857142
reduced_model,5,50,20,0.6348705768585206,0.683832323551178,0.7128351313751738,0.6399999999999999,0.673279259624565,0.7292682926829268
reduced_model,5,50,30,0.7391136884689331,0.5910447776317597,0.5072559324733238,0.6,0.5194272778720996,0.585
reduced_model,10,50,5,0.5912319481372833,0.7219864130020142,0.7121737172768556,0.6964221824686941,0.7039320578878897,0.7450726978998385
reduced_model,10,50,10,0.6761364161968231,0.6797618925571441,0.6944196049482716,0.6462450592885376,0.6691004112804586,0.7135458167330679
reduced_model,10,50,15,0.6702591776847839,0.676752758026123,0.7017638721796632,0.6369565217391304,0.6668585737890738,0.7180451127819548
