Architecture,Fold,Loss,Accuracy,Precision,Recall,F1-Score,Specificity
exp2,1,0.702,0.525,0.5,0.506,0.503,0.543
exp2,2,0.674,0.58,0.557,0.562,0.559,0.596
exp2,3,0.655,0.612,0.586,0.624,0.604,0.601
exp2,4,0.645,0.621,0.59,0.658,0.622,0.586
exp2,5,0.638,0.632,0.599,0.683,0.638,0.586
exp1,1,0.713,0.478,0.476,0.998,0.645,0.008
exp1,2,0.658,0.617,0.574,0.748,0.65,0.499
exp1,3,0.649,0.607,0.755,0.254,0.38,0.926
exp1,4,0.664,0.565,0.862,0.1,0.179,0.985
exp1,5,0.689,0.552,0.919,0.061,0.114,0.995
CNN_LF,1,0.688,0.475,0.475,1.0,0.644,0.0
CNN_LF,2,0.681,0.483,0.478,0.991,0.645,0.024
CNN_LF,3,0.676,0.532,0.504,0.964,0.662,0.142
CNN_LF,4,0.673,0.577,0.532,0.911,0.672,0.276
CNN_LF,5,0.671,0.607,0.554,0.88,0.68,0.36
SPECTRO_CNN,1,0.627,0.574,0.89,0.116,0.206,0.987
SPECTRO_CNN,2,0.622,0.646,0.866,0.301,0.446,0.958
SPECTRO_CNN,3,0.618,0.692,0.853,0.424,0.566,0.934
SPECTRO_CNN,4,0.617,0.69,0.823,0.442,0.575,0.914
SPECTRO_CNN,5,0.615,0.704,0.811,0.49,0.611,0.897
