Encoded Architecture,Loss,Accuracy,Precision,Recall,F1,Specificity
"[6, 11, 1, 2, 0, 4, 1, 3, 2, 1, 0, 0, 2, 0, 0, 0, 8, 2, 2, 0, 6, 13, 1, 3, 1, 0, 0, 0, 4, 9, 2, 0, 0, 8, 1, 3, 3, 3, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0]",0.6936258673667908,0.4728353023529053,0.4735494880546075,0.9928443649373881,0.6412478336221837,0.0032310177705977385
"[0, 6, 1, 3, 2, 0, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 2, 1, 0, 0, 8, 1, 2, 0, 3, 1, 0, 0, 0, 11, 1, 3, 3, 2, 0, 0, 6, 14, 1, 3, 3, 3, 0, 0, 8, 1, 1, 0]",0.6924254298210144,0.5246179699897766,0.0,0.0,0.0,0.9983844911147012
"[2, 0, 0, 0, 0, 16, 0, 1, 8, 3, 2, 0, 6, 4, 1, 2, 3, 2, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 4, 32, 2, 0, 7, 0, 0, 0, 6, 11, 0, 3, 6, 12, 0, 2, 5, 0, 0, 0]",0.691972017288208,0.5254669189453125,0.0,0.0,0.0,1.0
"[3, 2, 0, 0, 4, 114, 0, 0, 5, 0, 0, 0, 2, 1, 0, 0, 2, 0, 0, 0, 2, 1, 0, 0, 6, 9, 0, 3, 7, 0, 0, 0, 0, 13, 0, 2, 5, 0, 0, 0, 7, 0, 0, 0, 0, 13, 0, 1]",0.6920298933982849,0.5254669189453125,0.0,0.0,0.0,1.0
"[2, 0, 0, 0, 6, 6, 1, 1, 3, 0, 0, 0, 1, 0, 0, 0, 8, 3, 2, 0, 3, 0, 0, 0, 3, 0, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 1, 0, 0, 0, 0, 5, 1, 3]",0.7320247888565063,0.4770798087120056,0.45320197044334976,0.4937388193202147,0.4726027397260274,0.4620355411954766
"[3, 1, 0, 0, 7, 0, 0, 0, 3, 2, 0, 0, 8, 2, 2, 0, 0, 7, 1, 0, 2, 0, 0, 0, 0, 8, 0, 1, 8, 3, 2, 0, 8, 1, 1, 0, 8, 3, 2, 0, 4, 110, 1, 0, 6, 6, 0, 2]",0.6918500661849976,0.5254669189453125,0.0,0.0,0.0,1.0
"[8, 3, 2, 0, 2, 0, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 8, 3, 2, 0, 4, 27, 0, 0, 1, 0, 0, 0, 3, 3, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0, 3, 3, 0, 0]",0.6559470295906067,0.5899830460548401,0.5648464163822525,0.592128801431127,0.5781659388646289,0.5880452342487884
"[2, 0, 0, 0, 0, 5, 1, 0, 4, 91, 3, 0, 6, 9, 1, 0, 0, 4, 1, 0, 7, 0, 0, 0, 0, 14, 0, 1, 0, 5, 1, 1, 7, 0, 0, 0, 8, 3, 2, 0, 0, 8, 0, 2, 7, 0, 0, 0]",0.7349947094917297,0.4745331108570099,0.47453310696095075,1.0,0.6436384571099597,0.0
"[1, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 0, 8, 0, 0, 0, 7, 1, 1, 6, 16, 1, 2, 6, 6, 1, 0, 0, 8, 1, 0, 8, 3, 2, 0, 4, 100, 1, 0, 3, 3, 0, 0, 1, 0, 0, 0]",0.6930757164955139,0.5254669189453125,0.0,0.0,0.0,1.0
"[5, 0, 0, 0, 8, 2, 1, 0, 8, 1, 2, 0, 7, 0, 0, 0, 4, 3, 3, 0, 6, 12, 1, 1, 4, 124, 1, 0, 4, 9, 1, 0, 0, 7, 0, 2, 2, 0, 0, 0, 8, 2, 2, 0, 7, 0, 0, 0]",0.6919548511505127,0.5254669189453125,0.0,0.0,0.0,1.0
