Encoded Architecture,Loss,Accuracy,Precision,Recall,F1,Specificity
"[0, 7, 1, 2, 5, 0, 0, 0, 4, 57, 1, 0, 7, 0, 0, 0, 6, 12, 1, 1, 3, 3, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 47, 0, 0, 3, 2, 0, 0, 0, 4, 1, 3, 6, 15, 0, 0]",0.6931492686271667,0.4745331108570099,0.47453310696095075,1.0,0.6436384571099597,0.0
"[3, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 58, 0, 0, 4, 47, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 4, 15, 2, 0]",0.6193461418151855,0.6426146030426025,0.5917553191489362,0.7960644007155635,0.6788710907704043,0.5040387722132472
"[5, 0, 0, 0, 7, 0, 0, 0, 0, 13, 0, 0, 0, 8, 0, 1, 7, 0, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0, 8, 1, 1, 0, 0, 15, 1, 0, 3, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0]",0.6670319437980652,0.6341256499290466,0.6114982578397212,0.627906976744186,0.6195939982347749,0.6397415185783522
"[6, 8, 1, 0, 6, 6, 0, 2, 4, 111, 2, 0, 5, 0, 0, 0, 0, 13, 0, 3, 3, 3, 0, 0, 6, 6, 1, 1, 7, 0, 0, 0, 1, 0, 0, 0, 6, 11, 1, 1, 7, 0, 0, 0, 6, 15, 0, 2]",0.6918904781341553,0.5254669189453125,0.0,0.0,0.0,1.0
"[3, 0, 0, 0, 5, 0, 0, 0, 4, 119, 3, 0, 0, 15, 0, 3, 0, 6, 0, 0, 2, 0, 0, 0, 6, 8, 0, 3, 8, 3, 1, 0, 0, 15, 0, 3, 2, 0, 0, 0, 6, 13, 1, 2, 8, 1, 2, 0]",0.6919124126434326,0.5254669189453125,0.0,0.0,0.0,1.0
"[4, 127, 1, 0, 8, 3, 1, 0, 4, 78, 2, 0, 0, 10, 1, 3, 7, 0, 0, 0, 2, 0, 0, 0, 6, 7, 1, 1, 2, 0, 0, 0, 8, 3, 2, 0, 5, 0, 0, 0, 3, 2, 0, 0, 4, 44, 1, 0]",0.6930752992630005,0.5254669189453125,0.0,0.0,0.0,1.0
"[3, 2, 0, 0, 8, 3, 1, 0, 4, 70, 3, 0, 7, 0, 0, 0, 6, 12, 0, 0, 4, 38, 1, 0, 1, 0, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0, 3, 2, 0, 0, 5, 0, 0, 0]",0.6537154316902161,0.6256366968154907,0.5768229166666666,0.7924865831842576,0.66767143933685,0.47495961227786754
"[3, 1, 0, 0, 4, 80, 0, 0, 4, 27, 1, 0, 3, 1, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 0, 0, 0, 3, 2, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0]",0.6659098267555237,0.5916808247566223,0.6042780748663101,0.40429338103756707,0.4844587352625938,0.7609046849757674
"[5, 0, 0, 0, 0, 11, 1, 0, 3, 1, 0, 0, 6, 15, 1, 0, 7, 0, 0, 0, 1, 0, 0, 0, 8, 3, 1, 0, 7, 0, 0, 0, 7, 0, 0, 0, 0, 4, 1, 1, 8, 1, 1, 0, 7, 0, 0, 0]",0.6983305811882019,0.4915110468864441,0.45073891625615764,0.32737030411449014,0.37927461139896373,0.6397415185783522
"[7, 0, 0, 0, 1, 0, 0, 0, 4, 119, 0, 0, 7, 0, 0, 0, 2, 1, 0, 0, 0, 15, 1, 1, 8, 2, 1, 0, 4, 1, 1, 0, 0, 6, 1, 1, 4, 112, 0, 0, 0, 5, 1, 3, 4, 62, 2, 0]",0.8038585186004639,0.4745331108570099,0.47453310696095075,1.0,0.6436384571099597,0.0
