Encoded Architecture,Loss,Accuracy,Precision,Recall,F1,Specificity
"[4, 49, 3, 0, 0, 15, 1, 2, 4, 37, 2, 0, 7, 0, 0, 0, 1, 0, 0, 0, 8, 3, 2, 0, 3, 2, 0, 0, 2, 0, 0, 0, 6, 13, 1, 0, 5, 0, 0, 0, 5, 0, 0, 0, 2, 1, 0, 0]",0.6612805724143982,0.6205433011054993,0.6352657004830918,0.47048300536672627,0.5405960945529291,0.7560581583198708
"[4, 109, 0, 0, 4, 83, 0, 0, 0, 5, 1, 3, 5, 0, 0, 0, 8, 2, 1, 0, 4, 96, 1, 0, 4, 87, 0, 0, 3, 2, 0, 0, 1, 0, 0, 0, 6, 7, 1, 0, 5, 0, 0, 0, 4, 113, 2, 0]",0.7556250095367432,0.4745331108570099,0.47453310696095075,1.0,0.6436384571099597,0.0
"[7, 0, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 6, 5, 1, 3, 8, 2, 1, 0, 1, 0, 0, 0, 8, 1, 1, 0, 7, 0, 0, 0, 4, 115, 0, 0, 2, 1, 0, 0, 1, 0, 0, 0]",0.7178735136985779,0.5908319354057312,0.5681415929203539,0.5742397137745975,0.5711743772241993,0.6058158319870759
"[6, 8, 0, 2, 3, 0, 0, 0, 5, 0, 0, 0, 0, 6, 0, 1, 2, 0, 0, 0, 8, 3, 2, 0, 6, 15, 1, 0, 4, 111, 0, 0, 7, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0]",0.7096789479255676,0.4745331108570099,0.47453310696095075,1.0,0.6436384571099597,0.0
"[7, 0, 0, 0, 1, 0, 0, 0, 4, 60, 0, 0, 6, 8, 1, 3, 8, 2, 1, 0, 8, 3, 1, 0, 0, 12, 0, 2, 6, 5, 1, 2, 3, 0, 0, 0, 6, 14, 0, 2, 6, 11, 0, 1, 4, 120, 3, 0]",0.6919599175453186,0.5254669189453125,0.0,0.0,0.0,1.0
"[5, 0, 0, 0, 4, 29, 1, 0, 6, 11, 0, 3, 4, 97, 3, 0, 1, 0, 0, 0, 3, 3, 0, 0, 3, 3, 0, 0, 8, 3, 2, 0, 0, 15, 1, 2, 1, 0, 0, 0, 8, 3, 2, 0, 5, 0, 0, 0]",0.7060101628303528,0.5611205697059631,0.5466666666666666,0.4400715563506261,0.48761149653121905,0.6704361873990307
"[2, 0, 0, 0, 0, 8, 0, 3, 1, 0, 0, 0, 7, 0, 0, 0, 3, 2, 0, 0, 4, 11, 1, 0, 3, 2, 0, 0, 5, 0, 0, 0, 4, 93, 2, 0, 6, 12, 0, 2, 7, 0, 0, 0, 5, 0, 0, 0]",0.5839856863021851,0.6740237474441528,0.6660341555977229,0.627906976744186,0.6464088397790055,0.715670436187399
"[4, 87, 2, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 11, 1, 1, 7, 0, 0, 0, 4, 23, 2, 0, 6, 6, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 3, 3, 0, 0, 3, 3, 0, 0, 8, 2, 1, 0]",0.6776854991912842,0.587436318397522,0.6,0.39177101967799643,0.474025974025974,0.7641357027463651
"[5, 0, 0, 0, 5, 0, 0, 0, 6, 9, 0, 3, 5, 0, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 6, 7, 1, 2, 3, 0, 0, 0, 6, 12, 1, 1, 0, 10, 1, 0, 4, 56, 2, 0]",0.6821777820587158,0.5619694590568542,0.6442953020134228,0.17173524150268335,0.2711864406779661,0.9143780290791599
"[7, 0, 0, 0, 2, 1, 0, 0, 0, 13, 0, 0, 0, 9, 1, 0, 4, 55, 1, 0, 4, 31, 0, 0, 6, 12, 0, 2, 3, 2, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0]",0.9907916784286499,0.5254669189453125,0.0,0.0,0.0,1.0
"[4, 10, 1, 0, 8, 3, 1, 0, 8, 3, 1, 0, 0, 6, 0, 3, 4, 30, 2, 0, 6, 6, 1, 3, 1, 0, 0, 0, 3, 2, 0, 0, 7, 0, 0, 0, 3, 3, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0]",0.688849687576294,0.5178267955780029,0.4957825679475164,0.9463327370304114,0.6506765067650676,0.1308562197092084
