Encoded Architecture,Loss,Accuracy,Precision,Recall,F1,Specificity
"[0, 30, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 0, 16, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 5, 0, 0, 0, 4, 256, 0, 0, 3, 1, 0, 0, 4, 1, 2, 0]",0.685851776599884,0.5050933957099915,0.1898132427843803,0.4,0.2574553828439839,0.6
"[1, 0, 0, 0, 0, 16, 0, 1, 1, 0, 0, 0, 0, 8, 0, 1, 1, 0, 0, 0, 5, 0, 0, 0, 4, 32, 1, 0, 4, 1, 2, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]",0.6664641380310059,0.5045840442180634,0.2894458389853773,0.6,0.3904897859851515,0.4184168012924071
"[0, 32, 0, 1, 1, 0, 0, 0, 0, 32, 0, 1, 2, 1, 0, 0, 0, 32, 0, 1, 1, 0, 0, 0, 0, 32, 0, 1, 0, 32, 0, 1, 1, 0, 0, 0, 0, 32, 0, 1, 0, 32, 0, 1, 1, 0, 0, 0]",0.6831339240074158,0.6190152883529663,0.5992447177466601,0.5971377459749553,0.5979438642187361,0.6387722132471729
"[7, 0, 0, 0, 0, 15, 1, 1, 0, 8, 1, 2, 6, 15, 1, 0, 5, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 8, 3, 1, 0, 3, 3, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 3, 3, 0, 0]",0.7610830426216125,0.507809841632843,0.4802021234675311,0.49302325581395345,0.485896585818982,0.5211631663974152
"[0, 13, 0, 1, 7, 0, 0, 0, 2, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 3, 1, 0, 0, 2, 1, 0, 0, 1, 0, 0, 0, 6, 4, 0, 0, 5, 0, 0, 0]",0.6912472486495972,0.5331069588661194,0.5217874156083051,0.31234347048300537,0.36848436409439556,0.7324717285945073
"[0, 4, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 0, 15, 1, 2, 5, 0, 0, 0, 7, 0, 0, 0, 4, 96, 1, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 95, 0, 0]",0.6759358167648315,0.5803056001663208,0.5799515952861342,0.4203935599284437,0.4845341239835303,0.7247172859450728
"[0, 15, 0, 3, 2, 1, 0, 0, 8, 2, 1, 0, 7, 0, 0, 0, 4, 57, 3, 0, 7, 0, 0, 0, 2, 0, 0, 0, 2, 1, 0, 0, 2, 1, 0, 0, 0, 14, 1, 1, 0, 8, 0, 1, 8, 1, 2, 0]",0.6925543546676636,0.5227504372596741,0.2550517236597609,0.03756708407871199,0.0630034861893269,0.9609046849757673
"[1, 0, 0, 0, 8, 1, 2, 0, 4, 21, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 8, 2, 2, 0, 7, 0, 0, 0]",0.6941704392433167,0.6354838609695435,0.6118207249962851,0.6339892665474061,0.6226242825950549,0.6368336025848141
"[1, 0, 0, 0, 7, 0, 0, 0, 1, 0, 0, 0, 6, 12, 0, 2, 5, 0, 0, 0, 7, 0, 0, 0, 8, 1, 1, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 8, 3, 2, 0, 4, 69, 3, 0]",0.6892567276954651,0.5514431357383728,0.4341384996101791,0.4658318425760286,0.39422038730726927,0.6287560581583198
"[1, 0, 0, 0, 8, 1, 1, 0, 6, 6, 0, 3, 6, 10, 0, 1, 4, 34, 0, 0, 4, 100, 3, 0, 3, 1, 0, 0, 2, 0, 0, 0, 6, 4, 1, 0, 6, 15, 1, 0, 8, 2, 1, 0, 2, 0, 0, 0]",0.6931081175804138,0.5254669189453125,0.0,0.0,0.0,1.0
