Encoded Architecture,Loss,Accuracy,Precision,Recall,F1,Specificity
"[7, 0, 0, 0, 4, 24, 0, 0, 4, 49, 0, 0, 6, 13, 1, 0, 6, 7, 1, 0, 2, 0, 0, 0, 3, 0, 0, 0, 0, 14, 1, 0, 7, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0]",0.692620325088501,0.5263158082962036,0.3181818181818182,0.005008944543828265,0.009664371772805509,0.997092084006462
"[7, 0, 0, 0, 0, 13, 1, 0, 3, 0, 0, 0, 6, 4, 0, 0, 6, 10, 0, 0, 8, 2, 2, 0, 3, 0, 0, 0, 0, 14, 1, 0, 3, 0, 0, 0, 5, 0, 0, 0, 3, 0, 0, 0, 8, 2, 2, 0]",0.6931036233901977,0.5254669189453125,0.0,0.0,0.0,1.0
"[7, 0, 0, 0, 0, 6, 1, 0, 3, 0, 0, 0, 3, 0, 0, 0, 8, 2, 2, 0, 2, 1, 0, 0, 8, 1, 1, 0, 7, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 0, 4, 0, 0, 7, 0, 0, 0]",0.6929138541221619,0.5045840501785278,0.4198765682326228,0.3889087656529517,0.26117405217234113,0.6090468497576736
"[1, 0, 0, 0, 1, 0, 0, 0, 6, 9, 0, 0, 8, 3, 1, 0, 5, 0, 0, 0, 7, 0, 0, 0, 4, 33, 0, 0, 7, 0, 0, 0, 4, 44, 0, 0, 4, 50, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0]",0.6016687154769897,0.6780984759330749,0.6717136955960428,0.6372093023255815,0.6495913967206829,0.7150242326332795
"[1, 0, 0, 0, 4, 59, 0, 0, 3, 0, 0, 0, 4, 17, 0, 0, 2, 1, 0, 0, 0, 10, 0, 0, 2, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 6, 14, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0]",0.7706441521644593,0.5205432832241058,0.49767889817701033,0.6576028622540251,0.5639864326017454,0.3967689822294022
"[6, 15, 0, 0, 6, 10, 0, 0, 0, 14, 0, 0, 8, 3, 1, 0, 1, 0, 0, 0, 4, 46, 0, 0, 5, 0, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]",0.6928247570991516,0.5254669189453125,0.0,0.0,0.0,1.0
"[4, 80, 0, 0, 7, 0, 0, 0, 4, 64, 0, 0, 4, 19, 0, 0, 2, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 8, 2, 2, 0, 8, 3, 2, 0, 7, 0, 0, 0, 7, 0, 0, 0, 6, 8, 1, 0]",57.24619374275208,0.5281833827495575,0.5124362726107407,0.36887298747763864,0.3192930762248384,0.6720516962843296
"[1, 0, 0, 0, 0, 12, 0, 0, 0, 14, 0, 0, 7, 0, 0, 0, 1, 0, 0, 0, 6, 7, 1, 0, 8, 3, 1, 0, 4, 68, 0, 0, 2, 1, 0, 0, 2, 0, 0, 0, 4, 121, 0, 0, 0, 4, 1, 0]",0.6914196491241456,0.5244482159614563,0.5449339044714934,0.3148479427549195,0.35131550886155505,0.7137318255250404
"[7, 0, 0, 0, 4, 25, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 4, 100, 0, 0, 3, 0, 0, 0, 6, 6, 1, 0, 7, 0, 0, 0, 4, 68, 0, 0, 0, 11, 0, 0, 1, 0, 0, 0]",0.6880855202674866,0.5550084829330444,0.528465765336229,0.7645796064400715,0.6127080976248873,0.36575121163166396
"[0, 13, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0, 0, 13, 1, 0, 0, 10, 0, 0, 5, 0, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 4, 56, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0]",0.6726078152656555,0.593718159198761,0.5715701751033168,0.6322003577817531,0.5898916568339121,0.5589660743134087
"[6, 8, 1, 0, 3, 0, 0, 0, 1, 0, 0, 0, 6, 13, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 8, 2, 1, 0, 0, 7, 1, 0, 0, 12, 0, 0, 8, 1, 1, 0, 6, 10, 0, 0, 1, 0, 0, 0]",0.748237144947052,0.5161290228366852,0.49103685919442713,0.4286225402504472,0.4496226043804036,0.5951534733441034
"[7, 0, 0, 0, 2, 1, 0, 0, 4, 89, 0, 0, 3, 0, 0, 0, 4, 117, 0, 0, 6, 13, 1, 0, 5, 0, 0, 0, 4, 10, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]",0.6920142412185669,0.5254669189453125,0.0,0.0,0.0,1.0
"[8, 0, 2, 0, 0, 13, 0, 0, 8, 1, 1, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 9, 1, 0, 3, 0, 0, 0, 2, 0, 0, 0, 8, 3, 2, 0, 6, 14, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]",0.692853820323944,0.5212224364280701,0.09382716049382715,0.06797853309481217,0.07883817427385892,0.9305331179321487
"[7, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 6, 6, 1, 0, 7, 0, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 8, 1, 1, 0, 4, 92, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]",0.5999750971794129,0.6787775993347168,0.6434513376118971,0.7270125223613595,0.682284570479104,0.6352180936995153
"[8, 0, 1, 0, 8, 1, 1, 0, 3, 0, 0, 0, 3, 0, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 4, 114, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 8, 2, 2, 0]",0.6583076596260071,0.6219015121459961,0.6333091154725109,0.5406082289803219,0.5600696948322383,0.6953150242326332
"[0, 8, 0, 0, 4, 47, 0, 0, 3, 0, 0, 0, 0, 15, 1, 0, 5, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 8, 1, 1, 0, 7, 0, 0, 0, 4, 67, 0, 0]",0.6542885065078735,0.621901524066925,0.610407680196327,0.5949910554561717,0.5942467232876645,0.6462035541195477
"[2, 1, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 4, 71, 0, 0, 4, 83, 0, 0, 4, 60, 0, 0, 0, 10, 0, 0, 4, 57, 0, 0, 1, 0, 0, 0, 0, 13, 1, 0, 2, 1, 0, 0, 4, 56, 0, 0]",0.6899212002754211,0.5444821715354919,0.5367686124561393,0.20894454382826474,0.2549513958491746,0.8474959612277868
"[3, 0, 0, 0, 2, 0, 0, 0, 4, 123, 0, 0, 8, 1, 2, 0, 2, 1, 0, 0, 3, 0, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 8, 2, 1, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]",0.6880362868309021,0.5268251299858093,0.5019047619047619,0.006797853309481216,0.013340136419298381,0.9964458804523424
"[2, 0, 0, 0, 7, 0, 0, 0, 6, 13, 0, 0, 2, 1, 0, 0, 0, 14, 1, 0, 0, 4, 1, 0, 0, 10, 0, 0, 1, 0, 0, 0, 4, 97, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 1, 0, 0, 0]",0.6931772708892823,0.5607809782028198,0.5412514993176609,0.5001788908765653,0.5194874545274274,0.6155088852988693
"[7, 0, 0, 0, 7, 0, 0, 0, 8, 2, 2, 0, 1, 0, 0, 0, 0, 6, 1, 0, 0, 14, 0, 0, 5, 0, 0, 0, 8, 2, 2, 0, 3, 0, 0, 0, 7, 0, 0, 0, 4, 95, 0, 0, 1, 0, 0, 0]",0.6220907211303711,0.6517826914787292,0.6204135903551736,0.7019677996422182,0.6562929396991819,0.6064620355411955
"[0, 5, 1, 0, 2, 1, 0, 0, 6, 11, 1, 0, 8, 1, 1, 0, 6, 14, 1, 0, 4, 14, 0, 0, 8, 3, 2, 0, 6, 5, 1, 0, 8, 2, 2, 0, 0, 11, 1, 0, 8, 1, 2, 0, 0, 7, 0, 0]",0.6931120991706848,0.5254669189453125,0.0,0.0,0.0,1.0
"[0, 15, 1, 0, 0, 14, 1, 0, 4, 110, 0, 0, 2, 0, 0, 0, 6, 9, 1, 0, 1, 0, 0, 0, 4, 122, 0, 0, 3, 0, 0, 0, 6, 10, 0, 0, 6, 8, 0, 0, 3, 0, 0, 0, 8, 1, 2, 0]",0.6930412888526917,0.5254669189453125,0.0,0.0,0.0,1.0
"[8, 0, 1, 0, 6, 6, 1, 0, 3, 0, 0, 0, 8, 1, 2, 0, 0, 5, 0, 0, 0, 13, 1, 0, 6, 11, 0, 0, 4, 29, 0, 0, 6, 15, 0, 0, 4, 24, 0, 0, 8, 2, 1, 0, 1, 0, 0, 0]",0.6928508162498475,0.5254669189453125,0.0,0.0,0.0,1.0
"[4, 115, 0, 0, 3, 0, 0, 0, 2, 0, 0, 0, 8, 3, 1, 0, 5, 0, 0, 0, 7, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]",0.636472749710083,0.6443123817443848,0.8112521046205258,0.32880143112701254,0.46387469471808185,0.9292407108239095
"[3, 0, 0, 0, 4, 39, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0, 4, 57, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 8, 1, 2, 0, 6, 10, 1, 0, 3, 0, 0, 0, 7, 0, 0, 0]",0.6882871508598327,0.5485568642616272,0.5164028630324332,0.8354203935599285,0.6366939578025966,0.2894991922455573
"[2, 1, 0, 0, 6, 11, 0, 0, 7, 0, 0, 0, 6, 8, 1, 0, 7, 0, 0, 0, 4, 100, 0, 0, 3, 0, 0, 0, 5, 0, 0, 0, 4, 3, 0, 0, 7, 0, 0, 0, 8, 1, 2, 0, 8, 1, 1, 0]",0.6924065589904785,0.5254669189453125,0.0,0.0,0.0,1.0
"[6, 6, 1, 0, 3, 0, 0, 0, 8, 2, 1, 0, 0, 15, 1, 0, 7, 0, 0, 0, 2, 1, 0, 0, 2, 1, 0, 0, 8, 1, 2, 0, 1, 0, 0, 0, 7, 0, 0, 0, 4, 12, 0, 0, 7, 0, 0, 0]",0.6963788151741028,0.49456707239151,0.3872252689604514,0.6021466905187836,0.3970824224710235,0.3974151857835218
"[4, 66, 0, 0, 6, 4, 1, 0, 3, 0, 0, 0, 8, 2, 2, 0, 6, 11, 0, 0, 6, 6, 0, 0, 0, 9, 0, 0, 8, 1, 2, 0, 4, 52, 0, 0, 3, 0, 0, 0, 6, 10, 1, 0, 4, 49, 0, 0]",0.6930566668510437,0.5254669189453125,0.0,0.0,0.0,1.0
"[0, 12, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 2, 1, 0, 0, 6, 13, 1, 0, 8, 2, 1, 0, 3, 0, 0, 0, 6, 11, 0, 0, 7, 0, 0, 0, 0, 14, 1, 0, 6, 4, 1, 0, 2, 1, 0, 0]",0.6930835962295532,0.5254669189453125,0.0,0.0,0.0,1.0
"[8, 0, 2, 0, 7, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 2, 1, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0]",0.6892848610877991,0.5251273393630982,0.06666666666666667,0.00035778175313059033,0.0007117437722419928,0.9990306946688208
"[1, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 4, 50, 0, 0, 6, 7, 0, 0, 3, 0, 0, 0, 6, 6, 1, 0, 1, 0, 0, 0, 2, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 6, 14, 0, 0]",0.687695586681366,0.5419354796409607,0.5339354402418991,0.4805008944543828,0.47300919698775773,0.5974151857835218
"[6, 14, 1, 0, 0, 9, 1, 0, 4, 57, 0, 0, 2, 1, 0, 0, 0, 4, 1, 0, 8, 1, 1, 0, 2, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 0, 11, 0, 0, 2, 0, 0, 0]",0.6931002974510193,0.508658766746521,0.08,0.07084078711985689,0.07514231499051234,0.9040387722132472
