Group1,Group2,p-value,Metric,Test,Statistic,Significance,Significance Level
5,5,1.0,Loss,Dunn Posthoc Test,,No,0.002
10,5,1.0,Loss,Dunn Posthoc Test,,No,0.002
15,5,0.7299804543011548,Loss,Dunn Posthoc Test,,No,0.002
20,5,0.04972849997261581,Loss,Dunn Posthoc Test,,No,0.002
30,5,0.0013091465604670816,Loss,Dunn Posthoc Test,,Yes,0.002
5,10,1.0,Loss,Dunn Posthoc Test,,No,0.002
10,10,1.0,Loss,Dunn Posthoc Test,,No,0.002
15,10,1.0,Loss,Dunn Posthoc Test,,No,0.002
20,10,0.9426430684121028,Loss,Dunn Posthoc Test,,No,0.002
30,10,0.0716096819380791,Loss,Dunn Posthoc Test,,No,0.002
5,15,0.7299804543011548,Loss,Dunn Posthoc Test,,No,0.002
10,15,1.0,Loss,Dunn Posthoc Test,,No,0.002
15,15,1.0,Loss,Dunn Posthoc Test,,No,0.002
20,15,1.0,Loss,Dunn Posthoc Test,,No,0.002
30,15,0.4216493125336296,Loss,Dunn Posthoc Test,,No,0.002
5,20,0.04972849997261581,Loss,Dunn Posthoc Test,,No,0.002
10,20,0.9426430684121028,Loss,Dunn Posthoc Test,,No,0.002
15,20,1.0,Loss,Dunn Posthoc Test,,No,0.002
20,20,1.0,Loss,Dunn Posthoc Test,,No,0.002
30,20,1.0,Loss,Dunn Posthoc Test,,No,0.002
5,30,0.0013091465604670816,Loss,Dunn Posthoc Test,,Yes,0.002
10,30,0.0716096819380791,Loss,Dunn Posthoc Test,,No,0.002
15,30,0.4216493125336296,Loss,Dunn Posthoc Test,,No,0.002
20,30,1.0,Loss,Dunn Posthoc Test,,No,0.002
30,30,1.0,Loss,Dunn Posthoc Test,,No,0.002
5,5,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
10,5,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
15,5,0.7299804543011548,Accuracy,Dunn Posthoc Test,,No,0.002
20,5,0.08550979237125331,Accuracy,Dunn Posthoc Test,,No,0.002
30,5,0.0021121675803561185,Accuracy,Dunn Posthoc Test,,No,0.002
