Group1,Group2,p-value,Metric,Test,Statistic,Architecture,Significance,Significance Level
5,5,1.0,Accuracy,Dunn Posthoc Test,,CNN_LF,No,0.005
10,5,1.0,Accuracy,Dunn Posthoc Test,,CNN_LF,No,0.005
15,5,0.7299804543011548,Accuracy,Dunn Posthoc Test,,CNN_LF,No,0.005
20,5,0.08550979237125331,Accuracy,Dunn Posthoc Test,,CNN_LF,No,0.005
30,5,0.0021121675803561185,Accuracy,Dunn Posthoc Test,,CNN_LF,Yes,0.005
5,10,1.0,Accuracy,Dunn Posthoc Test,,CNN_LF,No,0.005
10,10,1.0,Accuracy,Dunn Posthoc Test,,CNN_LF,No,0.005
15,10,1.0,Accuracy,Dunn Posthoc Test,,CNN_LF,No,0.005
20,10,0.7299804543011548,Accuracy,Dunn Posthoc Test,,CNN_LF,No,0.005
30,10,0.041235976013099584,Accuracy,Dunn Posthoc Test,,CNN_LF,No,0.005
5,15,0.7299804543011548,Accuracy,Dunn Posthoc Test,,CNN_LF,No,0.005
10,15,1.0,Accuracy,Dunn Posthoc Test,,CNN_LF,No,0.005
15,15,1.0,Accuracy,Dunn Posthoc Test,,CNN_LF,No,0.005
20,15,1.0,Accuracy,Dunn Posthoc Test,,CNN_LF,No,0.005
30,15,0.5582929463924007,Accuracy,Dunn Posthoc Test,,CNN_LF,No,0.005
5,20,0.08550979237125331,Accuracy,Dunn Posthoc Test,,CNN_LF,No,0.005
10,20,0.7299804543011548,Accuracy,Dunn Posthoc Test,,CNN_LF,No,0.005
15,20,1.0,Accuracy,Dunn Posthoc Test,,CNN_LF,No,0.005
20,20,1.0,Accuracy,Dunn Posthoc Test,,CNN_LF,No,0.005
30,20,1.0,Accuracy,Dunn Posthoc Test,,CNN_LF,No,0.005
5,30,0.0021121675803561185,Accuracy,Dunn Posthoc Test,,CNN_LF,Yes,0.005
10,30,0.041235976013099584,Accuracy,Dunn Posthoc Test,,CNN_LF,No,0.005
15,30,0.5582929463924007,Accuracy,Dunn Posthoc Test,,CNN_LF,No,0.005
20,30,1.0,Accuracy,Dunn Posthoc Test,,CNN_LF,No,0.005
30,30,1.0,Accuracy,Dunn Posthoc Test,,CNN_LF,No,0.005
5,5,1.0,Accuracy,Dunn Posthoc Test,,reduced_model,No,0.005
10,5,0.4859508699288883,Accuracy,Dunn Posthoc Test,,reduced_model,No,0.005
15,5,0.8308118696647387,Accuracy,Dunn Posthoc Test,,reduced_model,No,0.005
20,5,1.0,Accuracy,Dunn Posthoc Test,,reduced_model,No,0.005
30,5,0.006582528924745911,Accuracy,Dunn Posthoc Test,,reduced_model,No,0.005
5,10,0.4859508699288883,Accuracy,Dunn Posthoc Test,,reduced_model,No,0.005
10,10,1.0,Accuracy,Dunn Posthoc Test,,reduced_model,No,0.005
15,10,1.0,Accuracy,Dunn Posthoc Test,,reduced_model,No,0.005
20,10,1.0,Accuracy,Dunn Posthoc Test,,reduced_model,No,0.005
30,10,1.0,Accuracy,Dunn Posthoc Test,,reduced_model,No,0.005
5,15,0.8308118696647387,Accuracy,Dunn Posthoc Test,,reduced_model,No,0.005
10,15,1.0,Accuracy,Dunn Posthoc Test,,reduced_model,No,0.005
15,15,1.0,Accuracy,Dunn Posthoc Test,,reduced_model,No,0.005
20,15,1.0,Accuracy,Dunn Posthoc Test,,reduced_model,No,0.005
30,15,0.9426430684121028,Accuracy,Dunn Posthoc Test,,reduced_model,No,0.005
5,20,1.0,Accuracy,Dunn Posthoc Test,,reduced_model,No,0.005
10,20,1.0,Accuracy,Dunn Posthoc Test,,reduced_model,No,0.005
15,20,1.0,Accuracy,Dunn Posthoc Test,,reduced_model,No,0.005
20,20,1.0,Accuracy,Dunn Posthoc Test,,reduced_model,No,0.005
30,20,0.023049801979101038,Accuracy,Dunn Posthoc Test,,reduced_model,No,0.005
5,30,0.006582528924745911,Accuracy,Dunn Posthoc Test,,reduced_model,No,0.005
10,30,1.0,Accuracy,Dunn Posthoc Test,,reduced_model,No,0.005
15,30,0.9426430684121028,Accuracy,Dunn Posthoc Test,,reduced_model,No,0.005
20,30,0.023049801979101038,Accuracy,Dunn Posthoc Test,,reduced_model,No,0.005
30,30,1.0,Accuracy,Dunn Posthoc Test,,reduced_model,No,0.005
5,5,1.0,Accuracy,Dunn Posthoc Test,,Spectro_CNN,No,0.005
10,5,0.14276948952934443,Accuracy,Dunn Posthoc Test,,Spectro_CNN,No,0.005
15,5,0.2702386437091058,Accuracy,Dunn Posthoc Test,,Spectro_CNN,No,0.005
20,5,1.0,Accuracy,Dunn Posthoc Test,,Spectro_CNN,No,0.005
30,5,0.012504421134104738,Accuracy,Dunn Posthoc Test,,Spectro_CNN,No,0.005
5,10,0.14276948952934443,Accuracy,Dunn Posthoc Test,,Spectro_CNN,No,0.005
10,10,1.0,Accuracy,Dunn Posthoc Test,,Spectro_CNN,No,0.005
15,10,1.0,Accuracy,Dunn Posthoc Test,,Spectro_CNN,No,0.005
20,10,1.0,Accuracy,Dunn Posthoc Test,,Spectro_CNN,No,0.005
30,10,1.0,Accuracy,Dunn Posthoc Test,,Spectro_CNN,No,0.005
5,15,0.2702386437091058,Accuracy,Dunn Posthoc Test,,Spectro_CNN,No,0.005
10,15,1.0,Accuracy,Dunn Posthoc Test,,Spectro_CNN,No,0.005
15,15,1.0,Accuracy,Dunn Posthoc Test,,Spectro_CNN,No,0.005
20,15,1.0,Accuracy,Dunn Posthoc Test,,Spectro_CNN,No,0.005
30,15,1.0,Accuracy,Dunn Posthoc Test,,Spectro_CNN,No,0.005
5,20,1.0,Accuracy,Dunn Posthoc Test,,Spectro_CNN,No,0.005
10,20,1.0,Accuracy,Dunn Posthoc Test,,Spectro_CNN,No,0.005
15,20,1.0,Accuracy,Dunn Posthoc Test,,Spectro_CNN,No,0.005
20,20,1.0,Accuracy,Dunn Posthoc Test,,Spectro_CNN,No,0.005
30,20,0.3144373454589236,Accuracy,Dunn Posthoc Test,,Spectro_CNN,No,0.005
5,30,0.012504421134104738,Accuracy,Dunn Posthoc Test,,Spectro_CNN,No,0.005
10,30,1.0,Accuracy,Dunn Posthoc Test,,Spectro_CNN,No,0.005
15,30,1.0,Accuracy,Dunn Posthoc Test,,Spectro_CNN,No,0.005
20,30,0.3144373454589236,Accuracy,Dunn Posthoc Test,,Spectro_CNN,No,0.005
30,30,1.0,Accuracy,Dunn Posthoc Test,,Spectro_CNN,No,0.005
