Group1,Group2,p-value,Metric,Test,Statistic,Architecture,Significance,Significance Level
5,5,1.0,F1-score,Dunn Posthoc Test,,CNN_LF,No,0.005
10,5,0.9426430684121028,F1-score,Dunn Posthoc Test,,CNN_LF,No,0.005
15,5,0.3144373454589236,F1-score,Dunn Posthoc Test,,CNN_LF,No,0.005
20,5,0.5582929463924007,F1-score,Dunn Posthoc Test,,CNN_LF,No,0.005
30,5,1.0,F1-score,Dunn Posthoc Test,,CNN_LF,No,0.005
5,10,0.9426430684121028,F1-score,Dunn Posthoc Test,,CNN_LF,No,0.005
10,10,1.0,F1-score,Dunn Posthoc Test,,CNN_LF,No,0.005
15,10,1.0,F1-score,Dunn Posthoc Test,,CNN_LF,No,0.005
20,10,1.0,F1-score,Dunn Posthoc Test,,CNN_LF,No,0.005
30,10,0.08550979237125331,F1-score,Dunn Posthoc Test,,CNN_LF,No,0.005
5,15,0.3144373454589236,F1-score,Dunn Posthoc Test,,CNN_LF,No,0.005
10,15,1.0,F1-score,Dunn Posthoc Test,,CNN_LF,No,0.005
15,15,1.0,F1-score,Dunn Posthoc Test,,CNN_LF,No,0.005
20,15,1.0,F1-score,Dunn Posthoc Test,,CNN_LF,No,0.005
30,15,0.018861674592449366,F1-score,Dunn Posthoc Test,,CNN_LF,No,0.005
5,20,0.5582929463924007,F1-score,Dunn Posthoc Test,,CNN_LF,No,0.005
10,20,1.0,F1-score,Dunn Posthoc Test,,CNN_LF,No,0.005
15,20,1.0,F1-score,Dunn Posthoc Test,,CNN_LF,No,0.005
20,20,1.0,F1-score,Dunn Posthoc Test,,CNN_LF,No,0.005
30,20,0.041235976013099584,F1-score,Dunn Posthoc Test,,CNN_LF,No,0.005
5,30,1.0,F1-score,Dunn Posthoc Test,,CNN_LF,No,0.005
10,30,0.08550979237125331,F1-score,Dunn Posthoc Test,,CNN_LF,No,0.005
15,30,0.018861674592449366,F1-score,Dunn Posthoc Test,,CNN_LF,No,0.005
20,30,0.041235976013099584,F1-score,Dunn Posthoc Test,,CNN_LF,No,0.005
30,30,1.0,F1-score,Dunn Posthoc Test,,CNN_LF,No,0.005
5,5,1.0,F1-score,Dunn Posthoc Test,,reduced_model,No,0.005
10,5,0.5582929463924007,F1-score,Dunn Posthoc Test,,reduced_model,No,0.005
15,5,1.0,F1-score,Dunn Posthoc Test,,reduced_model,No,0.005
20,5,1.0,F1-score,Dunn Posthoc Test,,reduced_model,No,0.005
30,5,0.008179733199943955,F1-score,Dunn Posthoc Test,,reduced_model,No,0.005
5,10,0.5582929463924007,F1-score,Dunn Posthoc Test,,reduced_model,No,0.005
10,10,1.0,F1-score,Dunn Posthoc Test,,reduced_model,No,0.005
15,10,1.0,F1-score,Dunn Posthoc Test,,reduced_model,No,0.005
20,10,1.0,F1-score,Dunn Posthoc Test,,reduced_model,No,0.005
30,10,1.0,F1-score,Dunn Posthoc Test,,reduced_model,No,0.005
5,15,1.0,F1-score,Dunn Posthoc Test,,reduced_model,No,0.005
10,15,1.0,F1-score,Dunn Posthoc Test,,reduced_model,No,0.005
15,15,1.0,F1-score,Dunn Posthoc Test,,reduced_model,No,0.005
20,15,1.0,F1-score,Dunn Posthoc Test,,reduced_model,No,0.005
30,15,0.8308118696647387,F1-score,Dunn Posthoc Test,,reduced_model,No,0.005
5,20,1.0,F1-score,Dunn Posthoc Test,,reduced_model,No,0.005
10,20,1.0,F1-score,Dunn Posthoc Test,,reduced_model,No,0.005
15,20,1.0,F1-score,Dunn Posthoc Test,,reduced_model,No,0.005
20,20,1.0,F1-score,Dunn Posthoc Test,,reduced_model,No,0.005
30,20,0.023049801979101038,F1-score,Dunn Posthoc Test,,reduced_model,No,0.005
5,30,0.008179733199943955,F1-score,Dunn Posthoc Test,,reduced_model,No,0.005
10,30,1.0,F1-score,Dunn Posthoc Test,,reduced_model,No,0.005
15,30,0.8308118696647387,F1-score,Dunn Posthoc Test,,reduced_model,No,0.005
20,30,0.023049801979101038,F1-score,Dunn Posthoc Test,,reduced_model,No,0.005
30,30,1.0,F1-score,Dunn Posthoc Test,,reduced_model,No,0.005
5,5,1.0,F1-score,Dunn Posthoc Test,,Spectro_CNN,No,0.005
10,5,1.0,F1-score,Dunn Posthoc Test,,Spectro_CNN,No,0.005
15,5,1.0,F1-score,Dunn Posthoc Test,,Spectro_CNN,No,0.005
20,5,0.3144373454589236,F1-score,Dunn Posthoc Test,,Spectro_CNN,No,0.005
30,5,0.12073797243122887,F1-score,Dunn Posthoc Test,,Spectro_CNN,No,0.005
5,10,1.0,F1-score,Dunn Posthoc Test,,Spectro_CNN,No,0.005
10,10,1.0,F1-score,Dunn Posthoc Test,,Spectro_CNN,No,0.005
15,10,1.0,F1-score,Dunn Posthoc Test,,Spectro_CNN,No,0.005
20,10,1.0,F1-score,Dunn Posthoc Test,,Spectro_CNN,No,0.005
30,10,0.9426430684121028,F1-score,Dunn Posthoc Test,,Spectro_CNN,No,0.005
5,15,1.0,F1-score,Dunn Posthoc Test,,Spectro_CNN,No,0.005
10,15,1.0,F1-score,Dunn Posthoc Test,,Spectro_CNN,No,0.005
15,15,1.0,F1-score,Dunn Posthoc Test,,Spectro_CNN,No,0.005
20,15,0.041235976013099584,F1-score,Dunn Posthoc Test,,Spectro_CNN,No,0.005
30,15,0.012504421134104738,F1-score,Dunn Posthoc Test,,Spectro_CNN,No,0.005
5,20,0.3144373454589236,F1-score,Dunn Posthoc Test,,Spectro_CNN,No,0.005
10,20,1.0,F1-score,Dunn Posthoc Test,,Spectro_CNN,No,0.005
15,20,0.041235976013099584,F1-score,Dunn Posthoc Test,,Spectro_CNN,No,0.005
20,20,1.0,F1-score,Dunn Posthoc Test,,Spectro_CNN,No,0.005
30,20,1.0,F1-score,Dunn Posthoc Test,,Spectro_CNN,No,0.005
5,30,0.12073797243122887,F1-score,Dunn Posthoc Test,,Spectro_CNN,No,0.005
10,30,0.9426430684121028,F1-score,Dunn Posthoc Test,,Spectro_CNN,No,0.005
15,30,0.012504421134104738,F1-score,Dunn Posthoc Test,,Spectro_CNN,No,0.005
20,30,1.0,F1-score,Dunn Posthoc Test,,Spectro_CNN,No,0.005
30,30,1.0,F1-score,Dunn Posthoc Test,,Spectro_CNN,No,0.005
