Group1,Group2,p-value,Metric,Test,Statistic,Architecture,Significance,Significance Level
5,5,1.0,Loss,Dunn Posthoc Test,,CNN_LF,No,0.005
10,5,1.0,Loss,Dunn Posthoc Test,,CNN_LF,No,0.005
15,5,0.7299804543011548,Loss,Dunn Posthoc Test,,CNN_LF,No,0.005
20,5,0.04972849997261581,Loss,Dunn Posthoc Test,,CNN_LF,No,0.005
30,5,0.0013091465604670816,Loss,Dunn Posthoc Test,,CNN_LF,Yes,0.005
5,10,1.0,Loss,Dunn Posthoc Test,,CNN_LF,No,0.005
10,10,1.0,Loss,Dunn Posthoc Test,,CNN_LF,No,0.005
15,10,1.0,Loss,Dunn Posthoc Test,,CNN_LF,No,0.005
20,10,0.9426430684121028,Loss,Dunn Posthoc Test,,CNN_LF,No,0.005
30,10,0.0716096819380791,Loss,Dunn Posthoc Test,,CNN_LF,No,0.005
5,15,0.7299804543011548,Loss,Dunn Posthoc Test,,CNN_LF,No,0.005
10,15,1.0,Loss,Dunn Posthoc Test,,CNN_LF,No,0.005
15,15,1.0,Loss,Dunn Posthoc Test,,CNN_LF,No,0.005
20,15,1.0,Loss,Dunn Posthoc Test,,CNN_LF,No,0.005
30,15,0.4216493125336296,Loss,Dunn Posthoc Test,,CNN_LF,No,0.005
5,20,0.04972849997261581,Loss,Dunn Posthoc Test,,CNN_LF,No,0.005
10,20,0.9426430684121028,Loss,Dunn Posthoc Test,,CNN_LF,No,0.005
15,20,1.0,Loss,Dunn Posthoc Test,,CNN_LF,No,0.005
20,20,1.0,Loss,Dunn Posthoc Test,,CNN_LF,No,0.005
30,20,1.0,Loss,Dunn Posthoc Test,,CNN_LF,No,0.005
5,30,0.0013091465604670816,Loss,Dunn Posthoc Test,,CNN_LF,Yes,0.005
10,30,0.0716096819380791,Loss,Dunn Posthoc Test,,CNN_LF,No,0.005
15,30,0.4216493125336296,Loss,Dunn Posthoc Test,,CNN_LF,No,0.005
20,30,1.0,Loss,Dunn Posthoc Test,,CNN_LF,No,0.005
30,30,1.0,Loss,Dunn Posthoc Test,,CNN_LF,No,0.005
5,5,1.0,Loss,Dunn Posthoc Test,,reduced_model,No,0.005
10,5,1.0,Loss,Dunn Posthoc Test,,reduced_model,No,0.005
15,5,1.0,Loss,Dunn Posthoc Test,,reduced_model,No,0.005
20,5,1.0,Loss,Dunn Posthoc Test,,reduced_model,No,0.005
30,5,0.14276948952934443,Loss,Dunn Posthoc Test,,reduced_model,No,0.005
5,10,1.0,Loss,Dunn Posthoc Test,,reduced_model,No,0.005
10,10,1.0,Loss,Dunn Posthoc Test,,reduced_model,No,0.005
15,10,1.0,Loss,Dunn Posthoc Test,,reduced_model,No,0.005
20,10,0.10177442378203762,Loss,Dunn Posthoc Test,,reduced_model,No,0.005
30,10,1.0,Loss,Dunn Posthoc Test,,reduced_model,No,0.005
5,15,1.0,Loss,Dunn Posthoc Test,,reduced_model,No,0.005
10,15,1.0,Loss,Dunn Posthoc Test,,reduced_model,No,0.005
15,15,1.0,Loss,Dunn Posthoc Test,,reduced_model,No,0.005
20,15,0.8308118696647387,Loss,Dunn Posthoc Test,,reduced_model,No,0.005
30,15,0.9426430684121028,Loss,Dunn Posthoc Test,,reduced_model,No,0.005
5,20,1.0,Loss,Dunn Posthoc Test,,reduced_model,No,0.005
10,20,0.10177442378203762,Loss,Dunn Posthoc Test,,reduced_model,No,0.005
15,20,0.8308118696647387,Loss,Dunn Posthoc Test,,reduced_model,No,0.005
20,20,1.0,Loss,Dunn Posthoc Test,,reduced_model,No,0.005
30,20,0.006582528924745911,Loss,Dunn Posthoc Test,,reduced_model,No,0.005
5,30,0.14276948952934443,Loss,Dunn Posthoc Test,,reduced_model,No,0.005
10,30,1.0,Loss,Dunn Posthoc Test,,reduced_model,No,0.005
15,30,0.9426430684121028,Loss,Dunn Posthoc Test,,reduced_model,No,0.005
20,30,0.006582528924745911,Loss,Dunn Posthoc Test,,reduced_model,No,0.005
30,30,1.0,Loss,Dunn Posthoc Test,,reduced_model,No,0.005
5,5,1.0,Loss,Dunn Posthoc Test,,Spectro_CNN,No,0.005
10,5,0.8308118696647387,Loss,Dunn Posthoc Test,,Spectro_CNN,No,0.005
15,5,0.14276948952934443,Loss,Dunn Posthoc Test,,Spectro_CNN,No,0.005
