Group1,Group2,p-value,Metric,Test,Statistic,Architecture,Significance,Significance Level
5,5,1.0,Precision,Dunn Posthoc Test,,CNN_LF,No,0.005
10,5,1.0,Precision,Dunn Posthoc Test,,CNN_LF,No,0.005
15,5,0.9426430684121028,Precision,Dunn Posthoc Test,,CNN_LF,No,0.005
20,5,0.08550979237125331,Precision,Dunn Posthoc Test,,CNN_LF,No,0.005
30,5,0.0026692715690602585,Precision,Dunn Posthoc Test,,CNN_LF,Yes,0.005
5,10,1.0,Precision,Dunn Posthoc Test,,CNN_LF,No,0.005
10,10,1.0,Precision,Dunn Posthoc Test,,CNN_LF,No,0.005
15,10,1.0,Precision,Dunn Posthoc Test,,CNN_LF,No,0.005
20,10,0.5582929463924007,Precision,Dunn Posthoc Test,,CNN_LF,No,0.005
30,10,0.03408099570910007,Precision,Dunn Posthoc Test,,CNN_LF,No,0.005
5,15,0.9426430684121028,Precision,Dunn Posthoc Test,,CNN_LF,No,0.005
10,15,1.0,Precision,Dunn Posthoc Test,,CNN_LF,No,0.005
15,15,1.0,Precision,Dunn Posthoc Test,,CNN_LF,No,0.005
20,15,1.0,Precision,Dunn Posthoc Test,,CNN_LF,No,0.005
30,15,0.4859508699288883,Precision,Dunn Posthoc Test,,CNN_LF,No,0.005
5,20,0.08550979237125331,Precision,Dunn Posthoc Test,,CNN_LF,No,0.005
10,20,0.5582929463924007,Precision,Dunn Posthoc Test,,CNN_LF,No,0.005
15,20,1.0,Precision,Dunn Posthoc Test,,CNN_LF,No,0.005
20,20,1.0,Precision,Dunn Posthoc Test,,CNN_LF,No,0.005
30,20,1.0,Precision,Dunn Posthoc Test,,CNN_LF,No,0.005
5,30,0.0026692715690602585,Precision,Dunn Posthoc Test,,CNN_LF,Yes,0.005
10,30,0.03408099570910007,Precision,Dunn Posthoc Test,,CNN_LF,No,0.005
15,30,0.4859508699288883,Precision,Dunn Posthoc Test,,CNN_LF,No,0.005
20,30,1.0,Precision,Dunn Posthoc Test,,CNN_LF,No,0.005
30,30,1.0,Precision,Dunn Posthoc Test,,CNN_LF,No,0.005
5,5,1.0,Precision,Dunn Posthoc Test,,reduced_model,No,0.005
10,5,1.0,Precision,Dunn Posthoc Test,,reduced_model,No,0.005
15,5,1.0,Precision,Dunn Posthoc Test,,reduced_model,No,0.005
20,5,1.0,Precision,Dunn Posthoc Test,,reduced_model,No,0.005
30,5,0.23150951985246337,Precision,Dunn Posthoc Test,,reduced_model,No,0.005
5,10,1.0,Precision,Dunn Posthoc Test,,reduced_model,No,0.005
10,10,1.0,Precision,Dunn Posthoc Test,,reduced_model,No,0.005
15,10,1.0,Precision,Dunn Posthoc Test,,reduced_model,No,0.005
