Group1,Group2,p-value,Metric,Test,Statistic,Architecture,Significance,Significance Level
5,5,1.0,Recall,Dunn Posthoc Test,,CNN_LF,No,0.005
10,5,1.0,Recall,Dunn Posthoc Test,,CNN_LF,No,0.005
15,5,0.12073797243122887,Recall,Dunn Posthoc Test,,CNN_LF,No,0.005
20,5,0.0033619350474802536,Recall,Dunn Posthoc Test,,CNN_LF,Yes,0.005
30,5,1.0,Recall,Dunn Posthoc Test,,CNN_LF,No,0.005
5,10,1.0,Recall,Dunn Posthoc Test,,CNN_LF,No,0.005
10,10,1.0,Recall,Dunn Posthoc Test,,CNN_LF,No,0.005
15,10,1.0,Recall,Dunn Posthoc Test,,CNN_LF,No,0.005
20,10,0.4859508699288883,Recall,Dunn Posthoc Test,,CNN_LF,No,0.005
30,10,1.0,Recall,Dunn Posthoc Test,,CNN_LF,No,0.005
5,15,0.12073797243122887,Recall,Dunn Posthoc Test,,CNN_LF,No,0.005
10,15,1.0,Recall,Dunn Posthoc Test,,CNN_LF,No,0.005
15,15,1.0,Recall,Dunn Posthoc Test,,CNN_LF,No,0.005
20,15,1.0,Recall,Dunn Posthoc Test,,CNN_LF,No,0.005
30,15,1.0,Recall,Dunn Posthoc Test,,CNN_LF,No,0.005
5,20,0.0033619350474802536,Recall,Dunn Posthoc Test,,CNN_LF,Yes,0.005
10,20,0.4859508699288883,Recall,Dunn Posthoc Test,,CNN_LF,No,0.005
15,20,1.0,Recall,Dunn Posthoc Test,,CNN_LF,No,0.005
20,20,1.0,Recall,Dunn Posthoc Test,,CNN_LF,No,0.005
30,20,0.4216493125336296,Recall,Dunn Posthoc Test,,CNN_LF,No,0.005
5,30,1.0,Recall,Dunn Posthoc Test,,CNN_LF,No,0.005
10,30,1.0,Recall,Dunn Posthoc Test,,CNN_LF,No,0.005
15,30,1.0,Recall,Dunn Posthoc Test,,CNN_LF,No,0.005
20,30,0.4216493125336296,Recall,Dunn Posthoc Test,,CNN_LF,No,0.005
30,30,1.0,Recall,Dunn Posthoc Test,,CNN_LF,No,0.005
5,5,1.0,Recall,Dunn Posthoc Test,,reduced_model,No,0.005
10,5,0.36469830356026545,Recall,Dunn Posthoc Test,,reduced_model,No,0.005
15,5,0.36469830356026545,Recall,Dunn Posthoc Test,,reduced_model,No,0.005
20,5,1.0,Recall,Dunn Posthoc Test,,reduced_model,No,0.005
30,5,0.12073797243122887,Recall,Dunn Posthoc Test,,reduced_model,No,0.005
5,10,0.36469830356026545,Recall,Dunn Posthoc Test,,reduced_model,No,0.005
10,10,1.0,Recall,Dunn Posthoc Test,,reduced_model,No,0.005
15,10,1.0,Recall,Dunn Posthoc Test,,reduced_model,No,0.005
20,10,1.0,Recall,Dunn Posthoc Test,,reduced_model,No,0.005
30,10,1.0,Recall,Dunn Posthoc Test,,reduced_model,No,0.005
