Group1,Group2,p-value,Metric,Test,Statistic,Architecture,Significance,Significance Level
5,5,1.0,Specificity,Dunn Posthoc Test,,CNN_LF,No,0.005
10,5,1.0,Specificity,Dunn Posthoc Test,,CNN_LF,No,0.005
15,5,0.5582929463924007,Specificity,Dunn Posthoc Test,,CNN_LF,No,0.005
20,5,0.006582528924745911,Specificity,Dunn Posthoc Test,,CNN_LF,No,0.005
30,5,0.010130446880794062,Specificity,Dunn Posthoc Test,,CNN_LF,No,0.005
5,10,1.0,Specificity,Dunn Posthoc Test,,CNN_LF,No,0.005
10,10,1.0,Specificity,Dunn Posthoc Test,,CNN_LF,No,0.005
15,10,1.0,Specificity,Dunn Posthoc Test,,CNN_LF,No,0.005
20,10,0.14276948952934443,Specificity,Dunn Posthoc Test,,CNN_LF,No,0.005
30,10,0.19769406440668014,Specificity,Dunn Posthoc Test,,CNN_LF,No,0.005
5,15,0.5582929463924007,Specificity,Dunn Posthoc Test,,CNN_LF,No,0.005
10,15,1.0,Specificity,Dunn Posthoc Test,,CNN_LF,No,0.005
15,15,1.0,Specificity,Dunn Posthoc Test,,CNN_LF,No,0.005
20,15,1.0,Specificity,Dunn Posthoc Test,,CNN_LF,No,0.005
30,15,1.0,Specificity,Dunn Posthoc Test,,CNN_LF,No,0.005
5,20,0.006582528924745911,Specificity,Dunn Posthoc Test,,CNN_LF,No,0.005
10,20,0.14276948952934443,Specificity,Dunn Posthoc Test,,CNN_LF,No,0.005
15,20,1.0,Specificity,Dunn Posthoc Test,,CNN_LF,No,0.005
20,20,1.0,Specificity,Dunn Posthoc Test,,CNN_LF,No,0.005
30,20,1.0,Specificity,Dunn Posthoc Test,,CNN_LF,No,0.005
5,30,0.010130446880794062,Specificity,Dunn Posthoc Test,,CNN_LF,No,0.005
10,30,0.19769406440668014,Specificity,Dunn Posthoc Test,,CNN_LF,No,0.005
15,30,1.0,Specificity,Dunn Posthoc Test,,CNN_LF,No,0.005
20,30,1.0,Specificity,Dunn Posthoc Test,,CNN_LF,No,0.005
30,30,1.0,Specificity,Dunn Posthoc Test,,CNN_LF,No,0.005
5,5,1.0,Specificity,Dunn Posthoc Test,,reduced_model,No,0.005
10,5,0.5573715698023401,Specificity,Dunn Posthoc Test,,reduced_model,No,0.005
